itemDescription,Member_number,Date
beef,26,2029-03-15
potato chips,91,2031-03-18
eggs,71,2025-01-15
potato chips,65,2033-02-09
milk,49,2023-04-05
rice,50,2027-04-26
yogurt,18,2035-06-20
vinegar,7,2023-05-07
eggs,80,2031-01-30
beef,54,2032-09-14
ice cream,80,2029-06-04
beef,26,2025-09-18
pasta,96,2034-05-07
eggs,65,2023-08-25
salmon,19,2026-12-02
rice,30,2028-01-31
apples,55,2032-08-30
cookies,98,2023-02-22
potato chips,71,2028-11-10
eggs,28,2027-03-31
rice,2,2030-05-08
soda,32,2024-04-07
pasta,38,2026-08-16
olive oil,83,2034-09-12
yogurt,50,2031-05-22
chicken,54,2023-11-26
milk,40,2031-07-17
chicken,25,2028-09-13
potato chips,46,2026-09-12
potato chips,74,2033-03-22
eggs,48,2025-12-12
butter,71,2029-12-29
rice,87,2033-01-31
cereal,19,2030-07-23
soda,87,2035-08-15
vinegar,40,2034-10-26
chicken,24,2031-06-20
chicken,28,2027-03-31
bread,95,2027-08-22
beef,26,2032-06-30
carrots,10,2029-12-22
eggs,84,2027-06-20
rice,20,2035-06-19
olive oil,63,2028-06-08
juice,13,2029-10-21
chicken,94,2034-02-28
bread,43,2034-03-11
yogurt,63,2027-11-19
chocolate,54,2025-08-07
juice,64,2031-12-03
potatoes,23,2029-11-12
potato chips,33,2025-06-11
potato chips,24,2024-05-08
pasta,37,2024-03-12
beef,84,2034-05-11
cereal,23,2025-05-16
potato chips,35,2025-10-25
olive oil,33,2031-12-19
juice,79,2033-04-03
cereal,77,2035-02-12
eggs,83,2025-11-09
chicken,50,2023-04-02
butter,90,2028-10-27
pasta,21,2032-11-04
chicken,88,2030-07-09
potato chips,48,2026-06-22
beef,74,2031-09-03
salmon,3,2028-01-01
olive oil,8,2023-01-14
juice,14,2034-08-11
chicken,54,2034-07-18
yogurt,75,2030-06-11
chocolate,7,2025-07-03
pasta,96,2029-11-29
juice,77,2036-04-30
salmon,26,2032-06-30
juice,31,2026-11-14
butter,52,2026-12-27
eggs,53,2027-12-11
olive oil,39,2030-05-14
tomatoes,8,2035-07-19
beef,52,2033-01-27
olive oil,96,2035-09-25
eggs,92,2033-02-06
milk,64,2034-10-23
ice cream,60,2025-12-27
sugar,23,2032-07-30
bananas,79,2025-10-15
bread,53,2027-09-19
milk,10,2033-02-26
eggs,82,2026-12-09
eggs,15,2031-01-28
salmon,15,2035-10-06
pasta,23,2026-02-17
chicken,50,2032-05-08
potato chips,91,2025-05-02
juice,36,2029-09-18
flour,97,2027-07-04
beef,40,2034-04-12
vinegar,88,2024-10-18
salmon,45,2035-02-04
juice,84,2035-12-23
rice,2,2031-01-24
soda,43,2023-07-15
chicken,91,2032-07-21
yogurt,61,2034-01-03
salmon,60,2032-10-08
apples,8,2032-10-10
juice,25,2034-12-22
soda,34,2032-04-19
juice,30,2027-07-30
chicken,50,2023-03-24
beef,87,2034-08-10
potato chips,26,2029-03-15
cookies,36,2028-10-10
juice,46,2026-07-11
juice,61,2035-11-20
olive oil,76,2032-05-09
apples,84,2026-10-05
yogurt,4,2023-03-19
ice cream,87,2035-08-23
pasta,76,2029-11-27
olive oil,54,2029-04-11
chicken,50,2025-09-10
potato chips,87,2036-07-20
olive oil,96,2025-02-13
beef,11,2024-06-07
rice,11,2029-01-04
vinegar,31,2027-11-21
flour,97,2032-11-30
beef,38,2023-11-21
chicken,13,2026-09-22
bread,20,2024-07-29
ice cream,19,2029-04-04
cereal,91,2030-03-27
bread,96,2032-02-27
eggs,48,2026-06-22
sugar,25,2034-03-22
juice,19,2028-09-05
flour,82,2025-08-31
beef,10,2027-01-26
chicken,49,2033-07-26
rice,37,2035-01-07
juice,31,2036-01-07
eggs,58,2024-09-08
salmon,93,2035-07-02
vinegar,76,2029-01-23
potato chips,18,2026-07-29
eggs,24,2033-10-02
vinegar,76,2033-12-03
vinegar,25,2028-03-19
ice cream,20,2023-08-01
rice,79,2033-12-28
eggs,39,2027-02-07
eggs,83,2033-08-27
juice,92,2030-04-19
eggs,53,2035-09-21
vinegar,82,2034-02-20
vinegar,96,2031-06-16
rice,20,2031-07-20
salmon,71,2034-01-28
yogurt,69,2035-09-27
beef,53,2033-07-16
bread,50,2031-05-22
eggs,54,2031-03-30
beef,80,2030-12-10
juice,27,2030-03-24
juice,82,2029-01-27
vinegar,19,2028-05-06
chocolate,18,2027-12-31
sugar,75,2026-05-01
chicken,81,2036-02-04
flour,85,2028-08-14
vinegar,12,2023-03-22
chocolate,80,2029-06-04
beef,72,2034-07-09
salmon,31,2032-11-02
beef,9,2024-10-04
pasta,35,2023-01-11
juice,49,2034-03-28
juice,59,2026-11-26
soda,89,2023-12-06
chocolate,52,2033-01-27
yogurt,72,2028-11-26
chocolate,26,2026-01-13
chicken,58,2028-04-28
cereal,6,2026-08-13
potato chips,92,2030-05-04
vinegar,75,2035-12-12
potato chips,72,2033-07-08
butter,88,2032-04-11
potato chips,96,2029-06-23
potato chips,94,2027-08-31
flour,19,2028-09-05
potato chips,82,2034-02-20
sugar,19,2029-12-04
chocolate,16,2035-03-14
beef,73,2033-01-09
potato chips,7,2032-03-27
juice,64,2034-10-23
olive oil,64,2035-08-24
pasta,93,2034-09-03
butter,33,2024-02-01
butter,73,2032-07-07
juice,9,2030-06-23
vinegar,75,2026-05-01
cereal,20,2027-07-23
juice,79,2024-12-16
bread,52,2036-08-06
apples,80,2031-01-30
eggs,80,2030-12-10
juice,52,2027-10-13
sugar,2,2026-10-09
bread,3,2029-07-26
potato chips,48,2028-07-13
eggs,92,2036-08-27
eggs,22,2028-03-05
flour,99,2023-08-21
eggs,66,2030-08-19
cereal,28,2028-09-21
juice,29,2025-10-30
chicken,18,2024-01-16
beef,58,2031-09-26
yogurt,99,2030-12-01
chocolate,47,2023-05-19
cereal,66,2026-06-04
olive oil,53,2033-06-20
juice,82,2033-05-10
olive oil,15,2026-11-06
cheese,67,2031-04-30
soda,85,2027-12-21
rice,43,2024-05-12
eggs,31,2029-10-08
eggs,58,2025-07-01
vinegar,3,2026-04-11
eggs,89,2029-11-04
juice,63,2026-07-10
butter,14,2031-02-19
olive oil,15,2025-09-22
apples,58,2025-12-23
eggs,10,2027-01-26
vinegar,80,2031-12-26
beef,31,2034-07-16
chocolate,91,2028-07-25
sugar,83,2032-09-06
salmon,36,2032-04-05
juice,78,2035-12-16
soda,13,2027-08-27
eggs,92,2032-04-02
olive oil,52,2027-10-13
pasta,57,2032-06-19
olive oil,8,2032-10-10
bananas,1,2028-01-25
salmon,36,2028-10-10
potato chips,15,2036-01-08
beef,80,2024-05-25
eggs,11,2028-11-07
butter,1,2025-12-10
eggs,2,2025-01-20
olive oil,59,2036-04-18
onions,70,2030-08-11
pasta,18,2027-12-31
chocolate,70,2030-08-11
potato chips,44,2036-07-10
vinegar,11,2024-09-30
chicken,65,2023-08-25
juice,49,2031-10-27
vinegar,96,2034-10-04
rice,19,2032-05-19
chicken,73,2033-01-09
chicken,59,2023-08-11
juice,79,2032-01-18
sugar,89,2026-09-30
pasta,19,2030-09-15
eggs,95,2035-05-01
beef,5,2035-08-05
juice,38,2029-12-13
beef,1,2036-08-31
chicken,97,2032-11-30
butter,44,2032-02-05
chicken,34,2034-08-30
butter,28,2027-05-22
vinegar,36,2028-04-11
sugar,18,2035-11-22
yogurt,77,2031-03-20
salmon,33,2034-02-03
salmon,41,2035-03-22
olive oil,31,2034-10-01
olive oil,58,2030-04-09
cereal,21,2028-08-01
tomatoes,2,2034-01-04
onions,14,2030-04-01
eggs,41,2028-06-12
cheese,47,2033-09-24
rice,97,2028-07-27
juice,37,2024-10-13
vinegar,19,2024-07-30
juice,58,2024-09-08
juice,98,2029-08-15
potato chips,19,2036-07-30
potato chips,5,2023-01-18
tomatoes,6,2032-05-31
juice,14,2034-08-11
eggs,25,2027-11-22
milk,75,2033-10-15
soda,36,2026-09-21
cereal,92,2029-10-24
juice,8,2034-06-20
potato chips,64,2026-08-25
salmon,41,2036-07-17
onions,41,2027-09-29
olive oil,37,2023-06-23
potato chips,65,2032-04-24
eggs,33,2032-10-01
vinegar,83,2025-11-09
chocolate,29,2035-02-26
salmon,8,2029-06-22
carrots,79,2035-04-11
vinegar,79,2031-07-09
ice cream,46,2026-07-11
soda,44,2025-06-06
vinegar,27,2031-10-26
olive oil,42,2027-06-10
sugar,84,2026-05-31
pasta,41,2032-04-26
eggs,6,2034-04-23
salmon,70,2036-04-05
eggs,55,2034-11-26
sugar,36,2023-01-12
chocolate,8,2036-07-02
vinegar,23,2026-10-25
rice,84,2033-12-24
yogurt,61,2024-03-30
eggs,4,2034-03-07
chicken,19,2034-08-16
chicken,32,2033-03-12
bananas,83,2035-01-13
olive oil,10,2030-02-01
chicken,55,2033-02-22
tomatoes,42,2029-12-19
potato chips,99,2027-02-04
bread,41,2033-03-13
pasta,32,2031-08-03
yogurt,77,2030-04-11
chicken,9,2034-04-30
carrots,18,2029-09-27
chicken,1,2027-07-01
milk,3,2035-07-05
cereal,75,2031-12-07
beef,2,2034-07-24
vinegar,47,2033-10-18
bananas,19,2032-07-08
chicken,25,2028-05-12
rice,53,2036-02-01
potato chips,59,2029-05-20
juice,55,2031-09-09
chicken,72,2034-11-27
pasta,74,2028-11-29
eggs,80,2035-11-27
juice,89,2029-11-17
milk,92,2029-09-20
potato chips,68,2025-02-08
cereal,9,2029-06-05
pasta,16,2025-11-03
juice,96,2030-05-24
cereal,45,2027-05-04
milk,94,2034-12-02
chicken,97,2036-05-11
beef,50,2027-11-05
cereal,23,2024-06-25
cereal,19,2029-12-04
vinegar,30,2033-07-27
bread,97,2032-05-23
potato chips,22,2034-03-09
pasta,3,2031-06-14
chicken,16,2036-08-29
eggs,34,2025-11-25
flour,83,2027-02-23
soda,63,2034-05-04
beef,71,2030-11-06
cereal,67,2026-09-24
salmon,65,2026-09-26
milk,10,2029-12-22
eggs,98,2023-09-21
cereal,73,2030-06-30
butter,96,2031-11-15
yogurt,13,2029-10-21
olive oil,12,2030-08-21
vinegar,62,2023-08-30
chicken,20,2031-07-22
cereal,15,2023-02-16
potato chips,77,2027-01-25
beef,83,2033-02-08
eggs,31,2034-01-08
flour,38,2028-08-27
beef,30,2032-04-21
salmon,17,2029-03-11
chicken,56,2035-10-03
chocolate,86,2026-12-13
olive oil,73,2032-08-19
pasta,85,2026-05-14
eggs,43,2023-07-15
beef,90,2033-12-27
pasta,58,2030-04-09
carrots,91,2024-04-13
juice,5,2032-11-22
bread,63,2024-11-30
chicken,7,2028-06-03
salmon,34,2027-05-05
juice,40,2028-12-20
yogurt,17,2030-07-10
bread,54,2028-07-29
salmon,84,2035-03-11
flour,37,2023-04-08
chicken,12,2027-08-19
soda,19,2026-01-11
yogurt,94,2027-07-20
juice,3,2031-06-14
beef,96,2023-04-01
eggs,41,2034-03-02
beef,50,2023-04-02
salmon,69,2028-11-21
carrots,88,2027-04-18
beef,22,2027-11-03
yogurt,79,2034-07-04
chicken,29,2036-05-30
bread,8,2033-10-01
juice,44,2024-04-20
eggs,99,2023-08-21
olive oil,95,2024-11-16
chicken,97,2034-03-08
juice,13,2029-05-03
pasta,64,2023-03-20
juice,24,2033-10-02
bread,87,2035-08-15
beef,64,2030-01-01
cereal,64,2024-12-07
ice cream,98,2025-07-21
juice,57,2036-07-18
bread,26,2032-03-07
vinegar,29,2025-10-30
sugar,28,2028-09-21
soda,90,2026-04-22
soda,92,2025-02-16
butter,21,2032-05-29
potatoes,69,2032-10-20
juice,10,2026-07-14
flour,5,2030-07-24
rice,43,2033-11-20
cheese,47,2034-04-13
yogurt,88,2028-06-24
sugar,47,2032-12-09
vinegar,81,2023-12-15
juice,78,2032-08-16
onions,43,2030-03-09
rice,65,2031-08-05
ice cream,54,2033-11-28
eggs,20,2030-09-18
potato chips,52,2027-05-17
chicken,54,2023-11-26
juice,15,2024-10-06
sugar,6,2036-08-14
juice,28,2036-06-02
chocolate,4,2034-05-17
sugar,93,2032-10-02
juice,34,2031-12-08
cheese,8,2034-07-12
yogurt,65,2033-02-09
bread,94,2033-07-21
potatoes,52,2024-10-26
bread,53,2033-07-16
potato chips,31,2026-11-18
juice,64,2034-10-23
vinegar,48,2032-02-08
potato chips,15,2027-03-24
yogurt,66,2029-01-25
beef,5,2036-05-09
chicken,34,2030-01-30
bread,2,2026-04-30
potato chips,47,2033-06-09
rice,99,2036-04-27
juice,36,2023-10-21
beef,35,2031-12-29
potato chips,40,2024-03-05
soda,5,2031-02-13
olive oil,5,2031-02-24
butter,79,2033-12-11
beef,4,2027-07-14
potato chips,58,2035-05-14
butter,97,2032-05-23
rice,18,2024-09-06
eggs,22,2032-04-28
bread,19,2028-12-23
rice,29,2035-08-27
potato chips,71,2023-11-12
flour,1,2027-01-20
sugar,86,2023-02-27
flour,60,2031-03-13
yogurt,66,2027-12-05
chicken,52,2028-07-10
bread,1,2024-10-24
yogurt,35,2033-11-25
chicken,18,2025-05-07
milk,72,2028-02-19
flour,93,2035-09-17
potato chips,73,2028-01-17
potato chips,83,2024-03-27
pasta,63,2034-05-04
bread,84,2031-01-25
rice,26,2033-10-08
cereal,74,2026-08-05
beef,85,2030-02-14
butter,99,2030-12-01
potato chips,74,2027-07-31
olive oil,57,2029-02-08
ice cream,77,2027-01-17
rice,60,2029-01-26
eggs,42,2025-09-25
chicken,19,2032-07-08
soda,89,2023-12-09
beef,50,2028-12-28
sugar,29,2030-06-08
beef,64,2035-03-06
cookies,80,2036-07-27
butter,98,2029-08-15
ice cream,8,2026-08-11
salmon,23,2036-07-15
salmon,34,2025-03-20
olive oil,39,2031-09-19
juice,44,2025-02-19
cereal,91,2028-04-13
bread,76,2034-10-09
juice,3,2031-06-14
chocolate,3,2023-06-28
salmon,24,2033-12-19
bread,79,2033-12-28
salmon,96,2032-03-26
beef,96,2027-05-25
vinegar,51,2034-04-24
potato chips,77,2029-08-16
vinegar,27,2029-09-19
juice,35,2030-11-18
juice,57,2033-08-20
milk,4,2034-03-07
eggs,40,2034-04-12
chocolate,46,2032-05-11
juice,13,2035-07-29
potato chips,62,2033-07-25
bread,8,2023-06-17
bread,5,2031-02-13
olive oil,37,2028-03-03
rice,52,2026-03-04
juice,47,2023-05-19
milk,57,2026-07-23
olive oil,50,2032-03-25
eggs,66,2032-06-03
flour,65,2029-02-23
salmon,83,2034-04-10
pasta,82,2028-08-08
chicken,26,2032-03-07
yogurt,48,2023-10-31
juice,75,2028-07-11
pasta,89,2026-03-17
ice cream,46,2024-09-28
butter,35,2025-10-25
flour,20,2032-06-18
beef,81,2031-12-14
yogurt,45,2035-01-04
potato chips,49,2026-10-16
eggs,19,2028-06-28
rice,31,2031-12-21
juice,29,2032-12-01
chocolate,32,2033-03-12
chocolate,67,2024-08-27
eggs,22,2026-05-12
bread,37,2023-02-03
bread,72,2031-02-25
yogurt,37,2028-07-09
milk,30,2023-08-28
chocolate,21,2024-12-26
eggs,26,2034-09-10
bread,61,2032-11-15
cereal,88,2030-07-09
juice,64,2023-04-07
eggs,40,2027-05-02
cheese,16,2025-11-03
sugar,75,2030-06-11
butter,22,2032-02-11
chocolate,92,2030-05-04
vinegar,68,2027-12-03
olive oil,95,2025-07-10
apples,51,2023-05-13
chocolate,88,2035-02-02
vinegar,65,2032-04-24
ice cream,35,2025-05-17
chicken,81,2033-11-15
sugar,38,2031-12-06
pasta,88,2033-04-11
cheese,72,2036-01-17
chicken,25,2026-01-29
juice,5,2029-08-11
juice,47,2033-09-24
rice,18,2023-06-24
chicken,44,2034-10-02
potato chips,77,2023-04-13
bananas,52,2028-07-16
chicken,85,2035-05-08
juice,60,2032-10-08
sugar,54,2026-08-10
chicken,69,2023-10-18
rice,62,2033-12-23
sugar,44,2027-08-13
potatoes,92,2030-05-04
olive oil,73,2024-04-26
juice,99,2036-04-27
potato chips,93,2035-09-17
eggs,15,2028-11-25
juice,95,2023-05-09
carrots,53,2036-05-02
salmon,9,2031-03-16
cereal,33,2031-11-29
potato chips,80,2029-02-01
bananas,80,2027-07-16
olive oil,19,2025-09-29
bread,72,2027-06-23
juice,38,2023-09-07
chicken,36,2032-02-18
vinegar,7,2025-03-03
juice,37,2031-01-13
salmon,32,2024-11-15
olive oil,75,2033-03-08
beef,13,2023-01-28
salmon,52,2033-01-27
apples,68,2033-06-18
butter,32,2026-04-10
potato chips,62,2023-11-16
eggs,27,2032-12-14
potato chips,41,2023-12-27
potato chips,31,2034-01-08
cheese,98,2030-10-26
potato chips,44,2032-02-05
soda,91,2024-04-13
chicken,35,2025-03-23
carrots,86,2025-02-03
juice,60,2030-01-23
milk,12,2034-07-14
salmon,96,2034-11-15
juice,53,2034-03-05
olive oil,25,2033-10-04
eggs,58,2034-06-10
flour,78,2024-11-13
butter,30,2030-08-07
pasta,26,2023-10-05
juice,3,2025-11-21
beef,50,2031-05-22
butter,90,2029-06-07
juice,96,2024-08-31
olive oil,41,2025-06-19
eggs,44,2033-06-02
beef,50,2032-05-08
olive oil,12,2031-09-07
vinegar,42,2032-08-23
beef,16,2028-08-23
onions,87,2029-10-06
chicken,73,2035-12-13
vinegar,9,2029-09-11
chocolate,44,2031-11-02
vinegar,23,2035-12-04
potato chips,46,2029-03-05
beef,29,2031-10-19
pasta,52,2024-01-15
cereal,33,2034-02-03
butter,97,2027-11-18
olive oil,82,2035-03-19
cereal,75,2024-04-29
beef,20,2030-03-26
butter,43,2035-10-07
olive oil,21,2032-05-28
apples,48,2028-09-28
juice,59,2030-09-07
ice cream,15,2025-10-26
olive oil,31,2032-06-15
soda,72,2029-12-06
apples,61,2023-06-15
pasta,82,2033-05-10
pasta,27,2035-06-28
juice,74,2035-10-18
potato chips,19,2036-08-09
sugar,22,2024-11-21
rice,20,2031-11-23
olive oil,46,2024-09-28
chocolate,83,2028-11-14
milk,45,2031-01-29
beef,9,2024-09-09
eggs,40,2032-08-31
potato chips,19,2034-06-29
flour,59,2026-11-26
chicken,19,2034-08-16
rice,69,2029-06-13
soda,59,2023-02-19
tomatoes,99,2026-05-16
chocolate,20,2023-05-14
olive oil,60,2036-06-04
beef,61,2025-06-07
eggs,80,2027-09-04
potato chips,82,2026-12-09
potato chips,30,2032-09-30
chocolate,38,2030-10-19
carrots,8,2029-08-08
eggs,62,2023-06-01
beef,81,2031-10-10
salmon,78,2026-08-07
chicken,52,2033-01-27
chocolate,39,2028-01-12
chicken,74,2025-02-21
rice,92,2025-10-01
potato chips,57,2031-12-23
eggs,85,2029-09-14
juice,14,2028-01-15
juice,78,2024-11-01
juice,65,2031-08-25
olive oil,33,2025-10-23
beef,26,2030-03-01
potato chips,48,2025-04-06
vinegar,83,2024-06-27
beef,54,2035-12-31
potato chips,75,2030-06-11
juice,9,2025-12-30
sugar,11,2030-10-18
soda,95,2025-12-16
butter,68,2029-07-29
eggs,37,2028-03-03
beef,11,2028-02-09
potato chips,78,2033-01-22
flour,85,2034-05-08
cookies,51,2026-12-16
beef,62,2035-12-27
juice,44,2035-03-31
potatoes,39,2024-11-23
potato chips,58,2035-05-14
sugar,8,2034-07-12
pasta,34,2029-10-14
salmon,21,2032-05-29
potato chips,39,2030-05-14
sugar,51,2030-01-16
chicken,54,2023-11-26
rice,48,2025-01-16
ice cream,80,2034-09-09
potato chips,62,2029-07-13
carrots,88,2033-03-16
eggs,94,2034-12-02
beef,10,2036-02-08
onions,57,2036-04-19
tomatoes,86,2026-01-04
salmon,80,2034-04-14
ice cream,97,2023-03-16
yogurt,61,2025-06-07
eggs,3,2025-03-04
potato chips,80,2029-07-24
butter,10,2030-12-24
flour,5,2032-09-24
butter,31,2032-11-02
juice,95,2034-11-06
ice cream,26,2033-09-06
pasta,66,2029-09-03
juice,93,2036-02-13
potato chips,20,2032-06-18
potato chips,55,2024-02-12
beef,98,2031-05-13
rice,32,2033-03-23
chicken,73,2033-10-07
cereal,38,2033-01-21
sugar,68,2027-05-24
potato chips,78,2033-07-09
eggs,41,2033-11-21
cereal,19,2027-12-10
ice cream,97,2036-05-11
yogurt,42,2034-08-22
butter,94,2029-07-20
rice,61,2032-02-19
olive oil,52,2033-01-27
beef,47,2035-01-23
chocolate,14,2030-09-12
chicken,4,2029-09-06
juice,92,2032-04-02
rice,83,2034-04-10
cereal,81,2029-10-12
cereal,85,2034-09-23
salmon,9,2036-01-15
salmon,28,2030-08-09
bread,54,2034-10-28
chicken,81,2032-09-20
bread,39,2028-01-12
rice,3,2025-11-21
beef,91,2030-12-23
potato chips,49,2033-08-13
potatoes,30,2029-01-01
pasta,43,2029-03-06
eggs,57,2029-02-08
potato chips,71,2035-08-14
pasta,96,2036-07-23
bread,82,2031-07-04
vinegar,2,2023-06-20
cereal,35,2026-01-24
bread,12,2028-11-06
potato chips,59,2026-11-26
chicken,49,2028-02-25
olive oil,29,2023-06-09
vinegar,69,2030-10-25
carrots,56,2024-12-14
bread,60,2029-01-26
salmon,91,2026-08-21
pasta,65,2033-02-09
sugar,96,2031-06-16
chocolate,90,2031-01-02
potatoes,93,2033-05-19
flour,8,2033-06-04
eggs,39,2033-02-11
eggs,82,2023-09-25
bread,68,2027-05-24
beef,59,2026-09-11
flour,94,2035-03-30
eggs,51,2026-12-16
eggs,85,2026-05-14
chicken,36,2032-04-05
butter,54,2034-01-22
chicken,20,2029-04-26
vinegar,80,2027-02-02
yogurt,85,2032-02-07
soda,8,2036-07-02
flour,76,2032-03-11
milk,86,2029-11-10
bananas,53,2030-02-11
eggs,76,2032-05-09
juice,87,2034-05-26
chicken,24,2034-02-14
flour,39,2031-09-19
cereal,46,2030-02-12
butter,88,2024-09-10
juice,51,2027-09-16
yogurt,7,2029-02-11
milk,7,2027-08-07
cereal,78,2029-09-10
sugar,64,2035-06-09
pasta,72,2028-11-26
apples,69,2029-12-09
butter,71,2029-01-18
chocolate,48,2026-06-22
yogurt,77,2035-02-12
eggs,52,2031-07-21
vinegar,41,2027-02-26
pasta,27,2031-11-09
cereal,46,2029-08-24
salmon,68,2026-02-22
chicken,47,2024-08-05
chocolate,68,2033-06-19
cereal,50,2027-04-26
butter,31,2029-07-07
juice,49,2031-10-27
milk,58,2035-05-14
sugar,80,2036-01-23
vinegar,29,2030-05-28
chicken,35,2023-06-03
beef,69,2031-10-24
salmon,19,2023-03-06
salmon,19,2026-12-02
salmon,9,2030-06-23
olive oil,31,2026-11-20
yogurt,91,2028-07-25
yogurt,83,2033-08-27
eggs,5,2025-03-24
juice,80,2035-02-16
butter,15,2027-08-04
salmon,38,2029-12-13
butter,78,2024-11-13
salmon,59,2028-03-15
juice,31,2026-10-01
salmon,75,2023-03-02
eggs,62,2026-02-07
olive oil,9,2035-01-26
beef,81,2031-03-03
rice,30,2032-01-31
milk,96,2031-05-27
rice,36,2023-07-26
juice,47,2024-08-05
