itemDescription,Member_number,Date
cereal,33,2031-12-19
yogurt,49,2033-04-04
ice cream,4,2034-03-07
cereal,60,2036-01-25
sugar,23,2029-11-12
ice cream,85,2036-04-22
cereal,3,2028-12-03
soda,26,2030-08-04
bananas,31,2026-11-18
chocolate,52,2029-12-03
butter,35,2033-02-10
yogurt,6,2025-09-21
cereal,15,2028-01-22
sugar,32,2036-01-28
butter,68,2026-02-22
flour,74,2024-08-18
yogurt,90,2024-07-19
rice,22,2025-04-29
bread,75,2026-06-16
ice cream,4,2026-10-06
cereal,56,2030-05-05
flour,48,2030-05-27
ice cream,34,2030-07-03
yogurt,89,2027-02-05
cereal,96,2034-11-15
yogurt,46,2029-03-05
soda,23,2023-12-29
bananas,69,2026-10-10
milk,36,2030-04-22
ice cream,85,2031-01-22
butter,34,2024-06-30
ice cream,89,2033-05-09
chocolate,41,2030-11-08
sugar,15,2032-10-19
flour,34,2034-08-30
apples,27,2033-09-27
soda,18,2030-02-17
tomatoes,71,2024-03-10
sugar,34,2030-07-03
ice cream,16,2027-02-08
ice cream,66,2032-05-24
bread,22,2033-01-06
yogurt,29,2031-12-09
bread,37,2029-11-07
bread,74,2036-02-05
yogurt,90,2029-01-14
butter,9,2035-01-26
onions,19,2033-03-21
butter,99,2027-08-02
soda,42,2028-10-03
sugar,42,2032-12-06
butter,89,2033-05-09
butter,84,2026-05-05
chocolate,56,2027-10-31
flour,2,2034-07-24
sugar,8,2030-03-17
sugar,31,2033-01-17
potatoes,13,2023-08-29
bread,57,2028-06-16
cereal,31,2028-01-24
cereal,98,2030-02-21
flour,20,2035-06-01
flour,93,2024-02-29
bread,22,2035-04-27
milk,72,2029-08-22
soda,52,2028-07-16
yogurt,93,2033-09-05
pasta,1,2028-12-30
tomatoes,39,2029-07-25
apples,84,2030-07-26
soda,73,2035-08-29
bananas,72,2031-09-21
ice cream,56,2035-06-08
flour,49,2034-10-15
sugar,67,2030-09-09
chocolate,47,2031-12-30
chocolate,36,2033-12-31
flour,83,2033-08-27
tomatoes,21,2029-01-10
tomatoes,14,2024-03-08
cereal,41,2025-02-12
chicken,54,2035-12-31
carrots,20,2028-12-15
milk,91,2032-08-28
chocolate,97,2027-12-23
carrots,54,2033-09-21
sugar,23,2023-02-24
chocolate,76,2029-01-23
butter,63,2028-06-04
cereal,85,2031-02-22
eggs,36,2034-07-02
butter,25,2030-07-17
juice,56,2032-05-01
sugar,72,2025-04-12
bananas,84,2027-05-01
onions,69,2036-01-26
yogurt,78,2025-05-01
butter,47,2033-10-18
butter,90,2028-10-27
ice cream,78,2034-11-29
chocolate,69,2035-01-15
cereal,29,2030-01-07
chicken,45,2036-06-08
butter,98,2035-01-29
onions,25,2035-05-28
yogurt,66,2024-12-12
chocolate,58,2028-01-07
bananas,27,2030-03-24
chocolate,36,2028-03-02
cereal,15,2032-10-19
cookies,73,2028-03-16
potatoes,88,2030-08-24
milk,4,2023-03-19
pasta,5,2025-02-26
pasta,34,2035-09-06
yogurt,77,2036-05-06
bread,3,2033-06-30
ice cream,84,2027-07-18
flour,36,2031-05-21
eggs,25,2035-05-28
pasta,94,2024-08-14
soda,9,2025-12-30
cereal,38,2033-01-21
milk,20,2024-06-16
flour,98,2029-07-10
soda,98,2025-02-04
onions,85,2034-05-22
flour,58,2029-04-21
chocolate,71,2031-08-19
cereal,46,2030-02-07
ice cream,94,2031-06-22
chocolate,28,2028-09-21
chocolate,80,2035-11-27
cereal,33,2026-04-04
flour,30,2027-06-22
cheese,10,2026-07-14
soda,58,2028-01-07
bananas,33,2023-02-28
rice,11,2030-05-26
flour,89,2030-01-02
rice,53,2030-08-12
yogurt,72,2025-08-02
soda,57,2030-09-04
cereal,73,2030-10-29
sugar,44,2027-08-13
sugar,5,2025-06-03
cereal,58,2028-03-01
sugar,13,2031-07-25
onions,73,2034-11-10
chocolate,9,2031-07-10
cookies,32,2033-08-24
soda,37,2026-04-14
pasta,89,2023-03-01
cereal,75,2036-06-13
chocolate,84,2030-07-26
carrots,98,2024-10-08
chocolate,32,2023-03-17
ice cream,79,2024-10-27
cookies,3,2033-12-21
milk,68,2023-12-17
butter,75,2034-02-17
butter,21,2027-12-13
pasta,20,2034-06-05
milk,60,2025-12-27
chocolate,96,2026-11-21
cereal,62,2027-04-07
flour,76,2028-02-21
tomatoes,78,2029-06-11
pasta,85,2023-06-26
cereal,65,2026-03-15
ice cream,95,2025-09-20
yogurt,1,2026-07-05
soda,56,2030-01-25
cereal,78,2030-12-11
sugar,15,2031-03-23
chicken,96,2025-05-27
ice cream,6,2032-10-04
soda,82,2034-02-20
chicken,35,2025-09-16
flour,29,2032-12-01
cereal,83,2030-08-18
apples,79,2029-03-07
soda,83,2030-10-21
ice cream,19,2029-04-04
milk,14,2031-12-28
chocolate,27,2025-04-23
flour,96,2030-05-24
chocolate,96,2025-02-13
sugar,27,2023-08-16
flour,70,2025-04-16
bananas,83,2026-11-01
milk,77,2033-11-09
butter,95,2026-03-29
sugar,86,2029-07-12
ice cream,96,2034-04-09
chocolate,66,2033-01-26
sugar,28,2031-10-25
cheese,7,2025-04-18
potatoes,31,2035-05-10
chocolate,21,2025-04-25
chicken,79,2031-07-09
ice cream,67,2025-09-01
milk,57,2023-04-18
ice cream,68,2028-11-19
cereal,7,2034-05-06
butter,85,2030-10-28
sugar,64,2026-10-29
bread,52,2035-11-18
bananas,40,2034-04-12
chocolate,13,2027-10-10
soda,87,2028-12-22
sugar,44,2033-06-02
soda,92,2032-03-18
cheese,62,2023-10-20
ice cream,89,2028-07-19
yogurt,92,2027-07-09
eggs,18,2036-03-26
yogurt,98,2023-02-22
butter,30,2029-04-28
apples,46,2035-02-03
onions,57,2036-04-19
soda,21,2028-06-15
bananas,17,2029-04-20
cereal,27,2029-09-19
cereal,41,2027-04-16
butter,12,2026-06-08
flour,10,2023-11-24
flour,12,2034-06-08
cereal,14,2024-01-28
flour,44,2027-05-30
chocolate,99,2028-08-12
pasta,9,2026-03-07
milk,12,2029-10-01
potatoes,95,2035-07-25
flour,81,2030-08-14
carrots,6,2025-08-24
onions,93,2032-02-01
yogurt,30,2023-08-31
pasta,61,2023-07-12
ice cream,52,2023-11-29
chocolate,80,2025-12-03
yogurt,62,2029-01-11
sugar,18,2024-01-16
rice,64,2034-10-23
sugar,28,2030-11-19
flour,61,2032-05-18
pasta,5,2025-01-12
milk,21,2028-06-17
bread,93,2029-11-25
carrots,38,2029-11-06
onions,69,2026-04-01
bread,3,2027-02-12
ice cream,36,2034-07-02
ice cream,12,2028-11-12
sugar,96,2026-11-21
sugar,14,2023-07-28
cereal,30,2032-09-21
carrots,16,2030-11-10
yogurt,44,2027-08-08
cereal,69,2033-02-15
potatoes,13,2034-10-11
eggs,54,2023-12-07
chocolate,6,2023-11-23
flour,51,2029-11-21
butter,88,2030-06-28
ice cream,58,2034-09-16
bananas,62,2023-01-20
onions,70,2027-08-14
tomatoes,92,2023-03-31
sugar,66,2028-10-20
sugar,99,2036-04-27
cookies,34,2035-03-01
cereal,21,2029-12-30
butter,10,2026-05-19
ice cream,67,2025-09-01
juice,82,2033-09-16
sugar,55,2033-02-22
yogurt,52,2034-03-15
bread,64,2026-08-04
cereal,61,2029-11-20
sugar,86,2026-01-04
flour,14,2028-07-22
sugar,77,2023-04-13
bread,30,2023-05-02
bread,6,2032-12-18
chocolate,1,2036-08-31
cereal,51,2031-05-25
bread,73,2033-10-07
yogurt,76,2031-05-02
cereal,84,2026-08-29
bananas,5,2024-03-07
soda,51,2023-07-21
sugar,11,2032-04-04
bread,26,2027-08-17
yogurt,31,2035-11-16
yogurt,49,2034-03-17
chocolate,25,2033-08-03
sugar,68,2027-12-03
bread,86,2023-02-27
tomatoes,71,2032-02-06
cereal,12,2031-04-18
juice,8,2036-07-02
bananas,10,2036-06-05
pasta,5,2025-02-26
bread,84,2023-12-05
flour,25,2024-05-20
juice,54,2034-10-28
bread,73,2030-06-18
soda,97,2029-01-13
bread,44,2028-11-11
sugar,43,2036-07-11
yogurt,89,2036-02-29
apples,18,2029-06-08
yogurt,26,2028-09-10
cereal,94,2035-06-18
pasta,9,2027-08-12
ice cream,28,2026-01-15
carrots,60,2028-04-08
chocolate,93,2028-09-09
yogurt,20,2032-06-02
flour,64,2026-05-10
pasta,48,2024-02-05
sugar,4,2030-08-31
cookies,60,2023-05-23
pasta,33,2024-03-17
butter,86,2030-05-13
flour,19,2029-01-30
cereal,9,2025-09-23
bananas,50,2032-05-08
bananas,14,2025-02-25
milk,56,2030-05-20
ice cream,74,2034-07-27
yogurt,32,2027-03-29
yogurt,41,2028-06-12
apples,61,2023-06-15
butter,27,2023-02-02
butter,86,2034-01-27
ice cream,14,2031-02-19
bread,31,2034-01-08
cookies,17,2030-07-29
ice cream,32,2036-01-28
cereal,71,2024-03-10
sugar,15,2028-11-03
yogurt,57,2034-07-31
cereal,64,2030-07-07
apples,92,2033-09-30
ice cream,28,2036-08-24
bread,73,2025-11-28
onions,8,2034-12-19
sugar,38,2028-01-28
chocolate,99,2023-03-07
chocolate,17,2024-02-08
cereal,99,2027-02-04
butter,25,2032-03-02
butter,52,2029-12-03
chocolate,16,2027-02-08
cereal,11,2029-05-06
sugar,10,2026-05-19
butter,81,2036-04-14
chocolate,14,2026-09-09
yogurt,21,2035-06-02
chicken,73,2028-08-22
bread,59,2033-03-04
cereal,7,2036-04-06
sugar,13,2029-05-03
butter,95,2036-05-17
apples,33,2028-04-03
flour,71,2031-12-13
carrots,12,2024-07-27
butter,24,2023-01-22
soda,19,2023-10-06
milk,75,2026-06-28
cheese,72,2033-07-08
soda,76,2033-11-29
bananas,59,2029-08-05
soda,9,2031-07-10
cereal,15,2034-07-06
yogurt,99,2027-08-02
apples,73,2027-06-24
tomatoes,41,2027-09-29
flour,51,2026-12-16
potatoes,36,2025-08-23
milk,22,2030-02-10
yogurt,14,2026-09-27
cookies,81,2024-10-03
rice,50,2032-03-17
yogurt,62,2027-04-07
cereal,29,2024-04-17
flour,94,2031-05-29
sugar,88,2033-04-11
flour,72,2026-03-28
milk,28,2032-05-15
onions,58,2034-09-16
butter,5,2030-01-13
eggs,84,2032-08-06
milk,13,2033-05-24
milk,95,2027-08-22
sugar,90,2034-05-01
cereal,67,2024-08-13
yogurt,83,2023-08-05
flour,46,2036-06-12
chocolate,4,2028-07-30
butter,66,2027-04-25
butter,38,2026-04-16
sugar,99,2025-08-19
cookies,42,2023-03-08
soda,35,2035-11-13
butter,93,2026-09-20
bananas,55,2024-07-28
sugar,59,2035-12-07
milk,94,2029-09-07
bread,84,2031-01-25
sugar,9,2029-10-26
cheese,66,2023-06-19
chicken,71,2027-02-06
eggs,8,2034-05-12
flour,29,2032-07-19
yogurt,38,2034-12-27
chocolate,87,2029-10-06
potatoes,36,2033-05-26
chocolate,95,2023-05-09
soda,87,2027-10-24
cereal,89,2027-02-20
flour,81,2028-11-15
milk,32,2034-03-29
milk,59,2030-06-12
yogurt,27,2033-11-11
chocolate,3,2027-02-12
chocolate,90,2026-05-29
sugar,93,2032-10-02
apples,27,2029-09-19
sugar,28,2029-08-21
cereal,27,2031-06-27
butter,42,2029-09-21
soda,43,2024-06-24
apples,99,2023-03-07
sugar,54,2033-11-28
cereal,68,2028-03-09
soda,83,2035-11-23
sugar,83,2034-04-10
tomatoes,28,2033-04-30
ice cream,31,2035-05-10
cereal,6,2024-04-15
ice cream,81,2031-05-08
yogurt,1,2032-07-23
tomatoes,26,2033-10-08
bread,43,2029-01-05
sugar,63,2024-11-30
chocolate,65,2036-07-06
chicken,17,2026-01-14
sugar,92,2028-05-13
bread,10,2032-06-24
bread,80,2032-12-05
flour,69,2032-11-19
yogurt,3,2026-04-11
cheese,4,2030-01-04
chicken,38,2029-08-31
onions,82,2034-02-20
rice,68,2035-05-31
flour,20,2023-08-01
milk,66,2026-06-04
ice cream,47,2031-02-28
flour,16,2036-07-03
apples,2,2031-01-24
yogurt,58,2031-10-03
butter,79,2027-11-12
soda,81,2035-02-19
soda,97,2035-04-20
soda,51,2026-12-16
flour,25,2025-03-13
butter,23,2033-11-14
cereal,69,2036-01-26
yogurt,59,2024-10-25
ice cream,22,2032-05-02
milk,70,2029-07-31
flour,75,2026-03-20
cookies,20,2034-10-20
chocolate,8,2027-08-23
pasta,24,2033-05-29
bread,56,2025-05-12
milk,48,2030-04-29
yogurt,7,2028-10-23
chocolate,37,2023-04-08
cheese,19,2034-08-16
juice,73,2033-03-25
apples,48,2024-09-07
tomatoes,41,2023-12-27
cheese,28,2035-05-19
tomatoes,73,2032-07-07
tomatoes,74,2027-07-31
yogurt,71,2035-02-05
cereal,58,2025-12-23
apples,36,2028-03-29
flour,29,2034-08-21
bread,77,2025-03-22
cereal,48,2027-08-15
sugar,98,2025-02-04
milk,66,2023-06-19
yogurt,25,2025-05-21
butter,61,2025-01-02
yogurt,18,2031-10-22
bread,58,2028-04-16
apples,49,2034-02-08
apples,64,2023-06-21
ice cream,41,2027-02-26
carrots,78,2026-09-17
ice cream,1,2030-06-16
soda,95,2035-07-25
sugar,79,2031-07-09
tomatoes,6,2036-02-09
milk,58,2036-07-28
bananas,21,2025-04-25
flour,36,2031-10-05
cereal,15,2025-09-22
ice cream,4,2029-07-28
flour,46,2029-09-12
bread,57,2030-05-07
ice cream,46,2031-11-18
cereal,45,2026-08-09
onions,25,2027-12-28
flour,27,2025-04-23
butter,17,2030-07-29
bread,32,2023-01-04
cereal,59,2028-10-17
pasta,82,2024-04-08
butter,38,2035-07-07
soda,61,2032-06-23
yogurt,60,2031-08-07
cereal,70,2026-10-23
cereal,11,2033-05-16
yogurt,97,2028-08-19
cereal,39,2036-07-08
flour,34,2032-07-10
onions,9,2028-05-31
potatoes,28,2023-05-21
sugar,5,2024-02-28
sugar,61,2029-11-20
sugar,8,2026-04-23
tomatoes,92,2032-06-21
flour,8,2029-03-14
milk,9,2024-03-04
butter,95,2034-12-05
butter,31,2023-07-16
ice cream,78,2027-06-01
milk,90,2030-02-15
cookies,72,2023-10-22
cereal,34,2032-03-14
cereal,76,2029-01-23
milk,15,2023-02-16
bread,90,2029-06-07
cookies,6,2033-10-13
butter,54,2023-11-01
pasta,29,2027-12-19
milk,30,2027-10-05
chicken,11,2030-06-19
butter,16,2024-01-19
rice,47,2024-08-19
yogurt,13,2028-10-12
chocolate,95,2035-07-25
chicken,43,2033-11-20
potatoes,86,2033-07-31
milk,13,2034-04-07
ice cream,10,2033-06-27
butter,90,2030-02-15
bread,91,2025-05-02
ice cream,18,2034-07-17
flour,69,2036-08-10
pasta,80,2027-09-04
ice cream,43,2034-12-01
sugar,61,2034-01-03
tomatoes,41,2031-12-25
flour,87,2034-01-10
chocolate,57,2025-10-19
pasta,40,2026-06-30
rice,78,2025-04-09
juice,1,2032-07-23
chocolate,66,2031-06-24
flour,69,2026-10-10
milk,18,2026-07-29
soda,61,2035-11-24
soda,63,2025-02-28
soda,12,2026-05-26
bread,55,2025-05-14
flour,34,2034-08-30
cookies,80,2031-11-12
yogurt,9,2035-01-26
cookies,99,2035-06-06
soda,86,2023-02-27
cereal,71,2029-12-29
chicken,66,2035-10-02
cereal,16,2036-07-16
cheese,38,2029-04-02
ice cream,15,2035-10-23
flour,11,2032-08-05
yogurt,87,2034-01-10
ice cream,36,2031-12-01
flour,69,2033-08-14
soda,84,2027-05-01
ice cream,1,2025-12-10
flour,66,2034-02-11
cookies,94,2031-05-29
bread,97,2029-07-23
yogurt,52,2035-01-28
ice cream,74,2026-08-05
cereal,9,2035-09-29
sugar,23,2030-05-22
milk,4,2027-08-03
ice cream,99,2033-10-10
chocolate,16,2036-07-16
flour,78,2025-10-07
bananas,13,2034-10-19
potatoes,24,2024-03-11
soda,5,2023-03-10
cookies,34,2034-08-30
apples,88,2028-06-24
cereal,46,2030-02-12
butter,81,2027-06-14
bread,36,2024-02-16
tomatoes,52,2028-07-16
pasta,6,2030-03-06
sugar,10,2023-02-18
cereal,10,2033-08-07
cereal,51,2026-12-16
ice cream,8,2036-02-03
milk,59,2030-12-25
cereal,66,2031-06-24
carrots,30,2027-12-27
bananas,41,2029-07-04
onions,40,2027-05-02
ice cream,67,2031-05-01
yogurt,8,2029-03-14
flour,89,2036-02-24
sugar,92,2031-06-11
soda,84,2030-04-21
tomatoes,81,2030-11-07
soda,90,2032-02-04
ice cream,14,2030-07-04
yogurt,6,2026-09-25
butter,98,2024-05-11
flour,24,2035-05-29
milk,97,2023-03-16
ice cream,94,2029-09-07
butter,82,2032-10-03
flour,86,2031-09-04
butter,17,2032-01-11
bread,42,2024-11-19
bread,72,2034-11-27
bread,13,2025-06-27
tomatoes,86,2026-04-02
soda,84,2024-03-24
sugar,1,2028-12-30
chocolate,12,2028-11-12
cereal,9,2030-07-08
sugar,14,2024-02-02
yogurt,4,2028-04-10
onions,85,2027-08-28
butter,89,2028-06-20
cereal,41,2027-12-07
rice,19,2023-03-06
chocolate,24,2029-09-02
milk,40,2026-06-30
onions,18,2025-11-30
cheese,29,2026-05-20
bread,34,2027-01-03
juice,83,2030-10-21
tomatoes,70,2031-01-04
milk,32,2027-01-22
yogurt,9,2024-11-24
onions,81,2025-10-17
pasta,74,2024-08-18
bread,83,2031-05-09
butter,82,2025-12-08
chicken,7,2036-05-04
yogurt,84,2029-01-20
eggs,37,2035-12-30
apples,3,2028-01-01
flour,71,2034-01-31
butter,15,2033-02-24
butter,59,2030-06-12
ice cream,30,2024-03-16
milk,58,2031-09-26
flour,4,2027-03-06
chocolate,77,2025-03-22
chicken,37,2024-10-13
cereal,55,2026-08-12
cheese,45,2030-07-21
cheese,92,2036-03-24
milk,18,2031-10-22
yogurt,98,2025-07-21
chocolate,24,2036-07-29
pasta,15,2035-10-23
sugar,18,2028-10-31
cereal,59,2026-03-25
bananas,7,2029-02-11
milk,66,2031-05-07
bread,12,2028-03-12
yogurt,74,2035-06-11
ice cream,91,2032-07-15
butter,61,2025-12-19
milk,32,2036-04-07
soda,26,2030-04-24
sugar,53,2027-11-16
butter,62,2023-01-20
ice cream,33,2024-03-17
potatoes,49,2029-06-25
eggs,2,2024-06-13
soda,97,2027-12-23
cereal,69,2027-01-05
flour,88,2024-10-16
butter,73,2031-05-23
cereal,82,2024-05-28
yogurt,72,2023-10-22
chicken,70,2023-02-14
eggs,14,2036-01-24
flour,76,2031-11-03
cereal,72,2025-03-07
rice,38,2026-02-25
milk,96,2027-02-10
bread,84,2027-05-01
butter,85,2035-07-22
cereal,49,2034-03-28
cookies,48,2036-04-29
sugar,42,2027-07-12
butter,45,2032-05-27
cereal,41,2028-06-19
onions,81,2023-08-27
cereal,27,2023-08-16
chicken,77,2026-09-15
soda,57,2036-04-23
butter,20,2024-07-25
cereal,90,2033-12-27
ice cream,51,2034-11-25
chocolate,28,2029-08-21
potatoes,33,2025-02-15
soda,9,2031-08-18
cookies,47,2033-07-02
milk,36,2029-04-27
sugar,10,2027-03-18
ice cream,53,2027-07-06
milk,52,2026-02-10
cheese,44,2030-06-21
yogurt,46,2023-01-23
tomatoes,49,2033-01-18
pasta,61,2029-03-27
cheese,42,2032-12-06
rice,26,2027-10-21
flour,71,2029-01-07
cereal,11,2030-12-05
ice cream,15,2031-05-24
sugar,70,2030-05-02
pasta,69,2024-03-01
onions,2,2029-05-28
sugar,97,2034-02-13
flour,90,2033-12-27
juice,71,2025-01-15
butter,32,2034-03-29
potatoes,71,2034-07-15
pasta,85,2035-10-14
flour,98,2031-05-13
cereal,79,2025-05-22
cereal,49,2034-10-13
sugar,28,2026-02-01
flour,41,2027-12-07
milk,34,2026-08-23
cereal,5,2033-11-16
eggs,83,2035-12-01
milk,36,2033-08-15
ice cream,64,2025-06-18
milk,93,2032-01-28
butter,26,2034-03-20
flour,75,2024-09-15
milk,66,2024-12-12
cereal,61,2024-08-16
cookies,25,2026-12-17
chocolate,1,2028-01-25
onions,66,2029-09-03
cereal,2,2028-02-07
pasta,83,2034-09-12
yogurt,84,2028-12-08
soda,27,2026-03-05
soda,66,2032-01-30
flour,31,2029-06-19
milk,27,2023-02-02
butter,13,2034-10-19
cereal,18,2024-11-18
chocolate,67,2032-10-16
onions,42,2023-09-18
pasta,52,2034-12-06
yogurt,10,2028-03-10
bananas,34,2028-09-19
soda,99,2029-05-16
chocolate,5,2033-11-16
milk,76,2034-10-09
ice cream,54,2036-02-28
flour,13,2033-12-29
cheese,39,2027-09-15
chocolate,44,2028-10-11
ice cream,99,2034-02-21
cereal,29,2030-01-06
soda,56,2034-01-30
ice cream,39,2025-04-08
pasta,40,2029-09-25
milk,93,2028-01-13
apples,70,2033-03-09
carrots,12,2029-03-26
yogurt,90,2029-01-14
milk,45,2027-12-01
ice cream,59,2023-08-11
yogurt,7,2024-07-23
cereal,53,2025-09-03
ice cream,4,2034-05-17
sugar,25,2033-08-03
bread,23,2026-10-25
yogurt,74,2031-11-05
cereal,47,2024-08-19
sugar,4,2031-08-24
soda,38,2035-07-07
chocolate,3,2029-02-19
cereal,72,2034-08-24
yogurt,29,2024-11-22
bananas,76,2023-07-06
soda,38,2031-08-27
sugar,44,2033-06-07
yogurt,48,2033-05-23
butter,68,2027-01-01
cereal,16,2030-11-10
chocolate,20,2028-05-25
apples,14,2032-11-23
flour,34,2026-01-27
cereal,4,2035-01-03
rice,73,2035-08-29
apples,55,2026-01-05
sugar,94,2036-02-21
sugar,39,2025-06-21
ice cream,74,2035-11-06
bread,3,2035-07-05
onions,71,2033-08-28
juice,96,2031-12-05
yogurt,51,2035-04-18
ice cream,24,2030-04-02
yogurt,71,2024-10-30
milk,65,2027-03-17
bread,16,2029-01-03
cheese,18,2032-04-13
cheese,94,2028-04-05
flour,62,2030-02-28
flour,18,2035-12-03
cereal,89,2028-10-05
flour,31,2028-03-04
ice cream,7,2031-11-07
apples,69,2033-06-06
sugar,62,2031-02-14
milk,20,2027-09-10
cereal,37,2028-03-03
juice,94,2031-04-11
flour,81,2031-05-08
milk,17,2024-07-13
milk,5,2024-02-28
yogurt,39,2031-12-20
cereal,15,2025-09-22
cereal,94,2035-10-17
cereal,79,2027-05-06
ice cream,29,2023-08-12
cookies,91,2036-03-27
milk,10,2029-06-21
soda,15,2027-08-04
butter,80,2033-11-04
sugar,71,2030-10-09
chocolate,32,2035-09-07
chocolate,63,2033-01-30
milk,38,2031-08-27
yogurt,52,2026-05-28
butter,41,2025-06-02
potatoes,61,2033-09-01
chicken,39,2023-01-27
bread,84,2031-10-20
milk,14,2024-01-28
eggs,84,2030-04-21
soda,65,2035-08-18
flour,38,2023-07-14
chicken,85,2034-09-23
sugar,27,2031-04-20
ice cream,89,2023-03-01
milk,53,2027-05-29
bread,92,2023-01-02
soda,41,2027-12-12
cookies,17,2024-07-13
flour,20,2027-07-10
yogurt,98,2030-12-18
soda,72,2023-04-26
chocolate,27,2035-06-10
chocolate,39,2033-02-11
ice cream,42,2032-08-23
carrots,32,2024-11-09
onions,34,2027-06-02
chocolate,78,2029-05-21
cereal,6,2033-01-01
sugar,12,2027-06-21
ice cream,67,2035-01-27
chicken,4,2027-03-06
cereal,57,2028-04-12
sugar,92,2030-03-22
butter,33,2032-10-01
chocolate,38,2034-08-01
milk,45,2033-07-29
juice,16,2033-02-07
soda,50,2023-07-23
chocolate,62,2035-12-27
flour,27,2024-05-22
ice cream,68,2033-02-17
chicken,48,2030-03-12
potatoes,62,2035-05-20
cereal,9,2032-04-06
milk,40,2028-12-20
cookies,61,2025-02-27
ice cream,18,2026-06-19
pasta,77,2025-11-18
milk,68,2035-11-12
bread,5,2035-03-07
yogurt,20,2032-06-18
bread,54,2025-06-24
pasta,42,2034-08-22
soda,11,2028-08-26
carrots,38,2026-08-16
yogurt,6,2033-01-01
bananas,87,2025-03-01
chocolate,81,2023-08-27
sugar,87,2035-10-30
juice,98,2032-04-29
cereal,18,2032-04-13
flour,75,2030-06-11
cereal,83,2028-11-14
pasta,41,2025-08-09
soda,28,2024-08-09
bread,74,2024-08-18
cookies,28,2027-05-22
cereal,9,2034-10-30
milk,26,2026-09-19
chicken,95,2035-01-20
soda,98,2030-12-18
onions,11,2029-01-04
soda,73,2032-11-03
yogurt,34,2031-06-19
flour,15,2025-01-30
cereal,89,2026-03-17
yogurt,49,2027-02-17
cereal,23,2029-09-24
juice,70,2023-02-14
butter,62,2025-09-28
bread,96,2031-05-27
bread,58,2030-04-17
chocolate,8,2036-07-02
soda,82,2026-01-08
juice,91,2025-05-02
chocolate,32,2028-07-28
cereal,87,2034-09-08
cereal,92,2028-05-13
rice,94,2031-04-11
butter,71,2030-04-28
bread,39,2027-11-23
