itemDescription,Member_number,Date
tomatoes,13,2023-08-07
yogurt,14,2023-08-08
pasta,71,2023-08-09
yogurt,55,2023-08-10
pasta,59,2023-08-11
cookies,29,2023-08-12
apples,10,2023-08-13
milk,34,2023-08-14
bananas,29,2023-08-15
apples,27,2023-08-16
milk,56,2023-08-17
cereal,37,2023-08-18
chicken,42,2023-08-19
potatoes,53,2023-08-20
bananas,99,2023-08-21
tomatoes,16,2023-08-22
cheese,63,2023-08-23
milk,55,2023-08-24
cookies,65,2023-08-25
tomatoes,62,2023-08-26
milk,81,2023-08-27
chicken,30,2023-08-28
milk,13,2023-08-29
bread,62,2023-08-30
ice cream,30,2023-08-31
pasta,66,2023-09-01
potatoes,21,2023-09-02
cheese,51,2023-09-03
chicken,64,2023-09-04
rice,35,2023-09-05
chocolate,76,2023-09-06
ice cream,38,2023-09-07
soda,10,2023-09-08
juice,28,2023-09-09
chocolate,82,2023-09-10
rice,1,2023-09-11
apples,66,2023-09-12
pasta,16,2023-09-13
bananas,35,2023-09-14
yogurt,4,2023-09-15
cookies,34,2023-09-16
onions,34,2023-09-17
onions,42,2023-09-18
cereal,96,2023-09-19
eggs,29,2023-09-20
cheese,98,2023-09-21
yogurt,37,2023-09-22
milk,94,2023-09-23
cookies,3,2023-09-24
chicken,82,2023-09-25
potatoes,33,2023-09-26
potatoes,37,2023-09-27
soda,96,2023-09-28
bananas,87,2023-09-29
yogurt,61,2023-09-30
rice,79,2023-10-01
soda,8,2023-10-02
yogurt,33,2023-10-03
eggs,8,2023-10-04
bread,26,2023-10-05
cheese,19,2023-10-06
soda,12,2023-10-07
eggs,91,2023-10-08
chicken,71,2023-10-09
yogurt,51,2023-10-10
rice,30,2023-10-11
bananas,25,2023-10-12
cereal,49,2023-10-13
chicken,86,2023-10-14
apples,52,2023-10-15
carrots,93,2023-10-16
juice,66,2023-10-17
onions,69,2023-10-18
ice cream,27,2023-10-19
tomatoes,62,2023-10-20
chocolate,36,2023-10-21
ice cream,72,2023-10-22
pasta,82,2023-10-23
apples,63,2023-10-24
bread,94,2023-10-25
cheese,74,2023-10-26
rice,92,2023-10-27
rice,62,2023-10-28
rice,23,2023-10-29
milk,51,2023-10-30
onions,48,2023-10-31
tomatoes,54,2023-11-01
chicken,59,2023-11-02
juice,46,2023-11-03
milk,28,2023-11-04
onions,44,2023-11-05
juice,1,2023-11-06
cookies,23,2023-11-07
eggs,64,2023-11-08
cereal,24,2023-11-09
juice,9,2023-11-10
eggs,16,2023-11-11
potatoes,71,2023-11-12
cheese,38,2023-11-13
tomatoes,53,2023-11-14
carrots,35,2023-11-15
cereal,62,2023-11-16
ice cream,80,2023-11-17
carrots,94,2023-11-18
cheese,65,2023-11-19
pasta,36,2023-11-20
chicken,38,2023-11-21
cookies,18,2023-11-22
juice,6,2023-11-23
pasta,10,2023-11-24
chocolate,66,2023-11-25
apples,54,2023-11-26
chicken,83,2023-11-27
apples,98,2023-11-28
rice,52,2023-11-29
milk,58,2023-11-30
cookies,8,2023-12-01
potatoes,29,2023-12-02
carrots,95,2023-12-03
cereal,85,2023-12-04
pasta,84,2023-12-05
cereal,89,2023-12-06
rice,54,2023-12-07
soda,98,2023-12-08
ice cream,89,2023-12-09
bananas,86,2023-12-10
carrots,80,2023-12-11
potatoes,72,2023-12-12
bread,48,2023-12-13
cheese,54,2023-12-14
tomatoes,81,2023-12-15
juice,87,2023-12-16
chocolate,68,2023-12-17
tomatoes,17,2023-12-18
eggs,81,2023-12-19
rice,12,2023-12-20
cookies,12,2023-12-21
cereal,39,2023-12-22
eggs,41,2023-12-23
bread,44,2023-12-24
pasta,86,2023-12-25
eggs,7,2023-12-26
ice cream,41,2023-12-27
yogurt,11,2023-12-28
bananas,23,2023-12-29
chocolate,25,2023-12-30
cookies,27,2023-12-31
eggs,62,2024-01-01
potatoes,17,2024-01-02
soda,33,2024-01-03
chocolate,36,2024-01-04
bread,87,2024-01-05
rice,16,2024-01-06
tomatoes,28,2024-01-07
yogurt,3,2024-01-08
soda,62,2024-01-09
carrots,70,2024-01-10
cookies,37,2024-01-11
eggs,46,2024-01-12
soda,6,2024-01-13
cookies,74,2024-01-14
cookies,52,2024-01-15
tomatoes,18,2024-01-16
eggs,89,2024-01-17
carrots,62,2024-01-18
apples,16,2024-01-19
rice,2,2024-01-20
apples,78,2024-01-21
pasta,13,2024-01-22
chocolate,82,2024-01-23
milk,17,2024-01-24
soda,62,2024-01-25
onions,84,2024-01-26
soda,21,2024-01-27
chicken,14,2024-01-28
tomatoes,87,2024-01-29
cereal,94,2024-01-30
bananas,45,2024-01-31
chocolate,33,2024-02-01
tomatoes,14,2024-02-02
chicken,29,2024-02-03
bread,54,2024-02-04
juice,48,2024-02-05
chocolate,43,2024-02-06
apples,8,2024-02-07
juice,17,2024-02-08
tomatoes,48,2024-02-09
potatoes,5,2024-02-10
cereal,40,2024-02-11
yogurt,55,2024-02-12
eggs,38,2024-02-13
cereal,23,2024-02-14
soda,66,2024-02-15
onions,36,2024-02-16
milk,65,2024-02-17
milk,56,2024-02-18
tomatoes,14,2024-02-19
eggs,56,2024-02-20
carrots,77,2024-02-21
cookies,26,2024-02-22
tomatoes,56,2024-02-23
milk,10,2024-02-24
chicken,48,2024-02-25
eggs,66,2024-02-26
ice cream,41,2024-02-27
tomatoes,5,2024-02-28
chicken,93,2024-02-29
apples,69,2024-03-01
chicken,56,2024-03-02
cookies,73,2024-03-03
soda,9,2024-03-04
cheese,40,2024-03-05
cereal,10,2024-03-06
milk,5,2024-03-07
tomatoes,14,2024-03-08
chicken,97,2024-03-09
yogurt,71,2024-03-10
cheese,24,2024-03-11
cookies,37,2024-03-12
pasta,80,2024-03-13
cereal,16,2024-03-14
bananas,44,2024-03-15
tomatoes,30,2024-03-16
pasta,33,2024-03-17
cheese,91,2024-03-18
rice,6,2024-03-19
yogurt,48,2024-03-20
chicken,58,2024-03-21
soda,27,2024-03-22
rice,29,2024-03-23
soda,84,2024-03-24
cereal,25,2024-03-25
milk,64,2024-03-26
cookies,83,2024-03-27
rice,38,2024-03-28
carrots,81,2024-03-29
ice cream,61,2024-03-30
potatoes,76,2024-03-31
milk,23,2024-04-01
soda,71,2024-04-02
cheese,42,2024-04-03
soda,92,2024-04-04
ice cream,5,2024-04-05
rice,83,2024-04-06
juice,32,2024-04-07
apples,82,2024-04-08
potatoes,56,2024-04-09
cereal,7,2024-04-10
milk,93,2024-04-11
ice cream,79,2024-04-12
cookies,91,2024-04-13
chocolate,81,2024-04-14
cookies,6,2024-04-15
pasta,94,2024-04-16
tomatoes,29,2024-04-17
bread,27,2024-04-18
yogurt,81,2024-04-19
chicken,44,2024-04-20
chocolate,27,2024-04-21
juice,30,2024-04-22
tomatoes,39,2024-04-23
pasta,92,2024-04-24
juice,55,2024-04-25
yogurt,73,2024-04-26
potatoes,3,2024-04-27
milk,81,2024-04-28
tomatoes,75,2024-04-29
soda,1,2024-04-30
eggs,85,2024-05-01
bread,74,2024-05-02
bananas,3,2024-05-03
potatoes,32,2024-05-04
cheese,94,2024-05-05
potatoes,97,2024-05-06
tomatoes,91,2024-05-07
eggs,24,2024-05-08
bananas,44,2024-05-09
soda,71,2024-05-10
soda,98,2024-05-11
chicken,43,2024-05-12
rice,90,2024-05-13
cheese,20,2024-05-14
soda,57,2024-05-15
cereal,34,2024-05-16
ice cream,25,2024-05-17
cookies,42,2024-05-18
carrots,34,2024-05-19
pasta,25,2024-05-20
chicken,77,2024-05-21
potatoes,27,2024-05-22
chicken,87,2024-05-23
carrots,98,2024-05-24
onions,80,2024-05-25
apples,47,2024-05-26
rice,95,2024-05-27
potatoes,82,2024-05-28
milk,8,2024-05-29
rice,56,2024-05-30
bread,89,2024-05-31
soda,39,2024-06-01
bananas,29,2024-06-02
yogurt,63,2024-06-03
rice,87,2024-06-04
bananas,33,2024-06-05
cookies,65,2024-06-06
rice,11,2024-06-07
bananas,82,2024-06-08
eggs,3,2024-06-09
cookies,13,2024-06-10
milk,16,2024-06-11
yogurt,24,2024-06-12
rice,2,2024-06-13
juice,47,2024-06-14
bread,33,2024-06-15
cheese,20,2024-06-16
eggs,92,2024-06-17
cheese,8,2024-06-18
cookies,12,2024-06-19
milk,68,2024-06-20
yogurt,22,2024-06-21
rice,20,2024-06-22
carrots,67,2024-06-23
bananas,43,2024-06-24
cheese,23,2024-06-25
bananas,61,2024-06-26
apples,83,2024-06-27
carrots,99,2024-06-28
apples,84,2024-06-29
eggs,34,2024-06-30
onions,86,2024-07-01
chicken,75,2024-07-02
rice,63,2024-07-03
bananas,62,2024-07-04
juice,38,2024-07-05
cereal,88,2024-07-06
milk,92,2024-07-07
cookies,90,2024-07-08
chicken,44,2024-07-09
potatoes,17,2024-07-10
rice,28,2024-07-11
bananas,11,2024-07-12
eggs,17,2024-07-13
chicken,27,2024-07-14
cheese,23,2024-07-15
soda,1,2024-07-16
cookies,82,2024-07-17
yogurt,28,2024-07-18
soda,90,2024-07-19
ice cream,9,2024-07-20
soda,93,2024-07-21
ice cream,17,2024-07-22
cheese,7,2024-07-23
yogurt,55,2024-07-24
bananas,20,2024-07-25
juice,45,2024-07-26
potatoes,12,2024-07-27
eggs,55,2024-07-28
ice cream,20,2024-07-29
cookies,19,2024-07-30
milk,72,2024-07-31
carrots,30,2024-08-01
chocolate,7,2024-08-02
rice,90,2024-08-03
onions,28,2024-08-04
bananas,47,2024-08-05
pasta,72,2024-08-06
cereal,92,2024-08-07
ice cream,47,2024-08-08
cereal,28,2024-08-09
apples,1,2024-08-10
onions,40,2024-08-11
ice cream,45,2024-08-12
eggs,67,2024-08-13
tomatoes,94,2024-08-14
yogurt,54,2024-08-15
onions,61,2024-08-16
apples,27,2024-08-17
bananas,74,2024-08-18
cheese,47,2024-08-19
onions,86,2024-08-20
bananas,99,2024-08-21
rice,16,2024-08-22
rice,69,2024-08-23
cookies,31,2024-08-24
soda,37,2024-08-25
onions,54,2024-08-26
chicken,67,2024-08-27
ice cream,17,2024-08-28
rice,94,2024-08-29
milk,18,2024-08-30
milk,96,2024-08-31
milk,19,2024-09-01
cheese,24,2024-09-02
apples,70,2024-09-03
cereal,93,2024-09-04
onions,95,2024-09-05
apples,18,2024-09-06
potatoes,48,2024-09-07
tomatoes,58,2024-09-08
bread,9,2024-09-09
carrots,88,2024-09-10
yogurt,51,2024-09-11
eggs,54,2024-09-12
rice,30,2024-09-13
bananas,19,2024-09-14
onions,75,2024-09-15
juice,8,2024-09-16
onions,16,2024-09-17
eggs,94,2024-09-18
eggs,15,2024-09-19
potatoes,64,2024-09-20
pasta,27,2024-09-21
cheese,19,2024-09-22
juice,45,2024-09-23
soda,9,2024-09-24
chicken,88,2024-09-25
bread,34,2024-09-26
cereal,79,2024-09-27
yogurt,46,2024-09-28
cookies,38,2024-09-29
cereal,11,2024-09-30
eggs,83,2024-10-01
soda,64,2024-10-02
bread,81,2024-10-03
pasta,9,2024-10-04
cereal,10,2024-10-05
tomatoes,15,2024-10-06
yogurt,77,2024-10-07
milk,98,2024-10-08
bread,18,2024-10-09
milk,34,2024-10-10
milk,77,2024-10-11
pasta,62,2024-10-12
apples,37,2024-10-13
bread,23,2024-10-14
apples,72,2024-10-15
eggs,88,2024-10-16
apples,90,2024-10-17
milk,88,2024-10-18
cookies,9,2024-10-19
rice,79,2024-10-20
bananas,41,2024-10-21
carrots,21,2024-10-22
cereal,1,2024-10-23
bread,1,2024-10-24
yogurt,59,2024-10-25
rice,52,2024-10-26
cookies,79,2024-10-27
milk,50,2024-10-28
bananas,59,2024-10-29
chocolate,71,2024-10-30
eggs,42,2024-10-31
chocolate,78,2024-11-01
potatoes,90,2024-11-02
chocolate,17,2024-11-03
pasta,9,2024-11-04
apples,25,2024-11-05
eggs,99,2024-11-06
rice,19,2024-11-07
chocolate,79,2024-11-08
juice,32,2024-11-09
juice,58,2024-11-10
pasta,62,2024-11-11
cookies,56,2024-11-12
milk,78,2024-11-13
ice cream,40,2024-11-14
chicken,32,2024-11-15
cereal,95,2024-11-16
tomatoes,52,2024-11-17
cheese,18,2024-11-18
eggs,42,2024-11-19
soda,97,2024-11-20
carrots,22,2024-11-21
pasta,29,2024-11-22
bananas,39,2024-11-23
potatoes,9,2024-11-24
ice cream,80,2024-11-25
potatoes,84,2024-11-26
apples,37,2024-11-27
cereal,87,2024-11-28
cheese,87,2024-11-29
juice,63,2024-11-30
pasta,85,2024-12-01
apples,25,2024-12-02
onions,53,2024-12-03
yogurt,68,2024-12-04
potatoes,32,2024-12-05
pasta,87,2024-12-06
cereal,64,2024-12-07
potatoes,34,2024-12-08
chocolate,22,2024-12-09
bread,20,2024-12-10
tomatoes,61,2024-12-11
tomatoes,66,2024-12-12
cereal,54,2024-12-13
eggs,56,2024-12-14
milk,48,2024-12-15
bananas,79,2024-12-16
chocolate,60,2024-12-17
cookies,47,2024-12-18
soda,14,2024-12-19
soda,62,2024-12-20
rice,43,2024-12-21
soda,92,2024-12-22
tomatoes,70,2024-12-23
soda,68,2024-12-24
bananas,31,2024-12-25
milk,21,2024-12-26
rice,40,2024-12-27
carrots,83,2024-12-28
cheese,84,2024-12-29
ice cream,53,2024-12-30
juice,55,2024-12-31
cereal,4,2025-01-01
pasta,61,2025-01-02
bread,50,2025-01-03
bread,16,2025-01-04
apples,51,2025-01-05
bananas,91,2025-01-06
cheese,75,2025-01-07
carrots,27,2025-01-08
carrots,49,2025-01-09
chicken,24,2025-01-10
rice,63,2025-01-11
pasta,5,2025-01-12
apples,84,2025-01-13
cereal,30,2025-01-14
milk,71,2025-01-15
yogurt,48,2025-01-16
apples,74,2025-01-17
pasta,14,2025-01-18
soda,41,2025-01-19
bananas,2,2025-01-20
apples,78,2025-01-21
cookies,38,2025-01-22
bananas,94,2025-01-23
bread,72,2025-01-24
potatoes,97,2025-01-25
onions,60,2025-01-26
chocolate,43,2025-01-27
carrots,47,2025-01-28
potatoes,25,2025-01-29
milk,15,2025-01-30
chicken,22,2025-01-31
pasta,77,2025-02-01
rice,55,2025-02-02
carrots,86,2025-02-03
pasta,98,2025-02-04
eggs,85,2025-02-05
cereal,11,2025-02-06
juice,68,2025-02-07
eggs,68,2025-02-08
potatoes,46,2025-02-09
pasta,84,2025-02-10
milk,12,2025-02-11
bananas,41,2025-02-12
cookies,96,2025-02-13
eggs,21,2025-02-14
cheese,33,2025-02-15
bananas,92,2025-02-16
eggs,27,2025-02-17
bread,69,2025-02-18
soda,44,2025-02-19
rice,26,2025-02-20
cereal,74,2025-02-21
carrots,60,2025-02-22
tomatoes,48,2025-02-23
cookies,7,2025-02-24
rice,14,2025-02-25
onions,5,2025-02-26
tomatoes,61,2025-02-27
bananas,63,2025-02-28
chicken,87,2025-03-01
potatoes,89,2025-03-02
tomatoes,7,2025-03-03
pasta,3,2025-03-04
potatoes,90,2025-03-05
milk,41,2025-03-06
cheese,72,2025-03-07
tomatoes,48,2025-03-08
chicken,92,2025-03-09
pasta,1,2025-03-10
rice,10,2025-03-11
bananas,4,2025-03-12
chicken,25,2025-03-13
eggs,45,2025-03-14
pasta,27,2025-03-15
soda,98,2025-03-16
milk,75,2025-03-17
chocolate,56,2025-03-18
carrots,85,2025-03-19
juice,34,2025-03-20
juice,45,2025-03-21
milk,77,2025-03-22
onions,35,2025-03-23
juice,5,2025-03-24
cereal,48,2025-03-25
apples,32,2025-03-26
chicken,38,2025-03-27
pasta,89,2025-03-28
milk,48,2025-03-29
ice cream,36,2025-03-30
cheese,90,2025-03-31
cereal,58,2025-04-01
chocolate,60,2025-04-02
potatoes,98,2025-04-03
juice,17,2025-04-04
potatoes,85,2025-04-05
yogurt,48,2025-04-06
tomatoes,66,2025-04-07
apples,39,2025-04-08
juice,78,2025-04-09
onions,20,2025-04-10
rice,65,2025-04-11
chocolate,72,2025-04-12
soda,96,2025-04-13
eggs,39,2025-04-14
tomatoes,20,2025-04-15
soda,70,2025-04-16
chocolate,35,2025-04-17
tomatoes,7,2025-04-18
bread,79,2025-04-19
chicken,94,2025-04-20
eggs,54,2025-04-21
carrots,22,2025-04-22
milk,27,2025-04-23
cereal,20,2025-04-24
chicken,21,2025-04-25
potatoes,36,2025-04-26
juice,2,2025-04-27
potatoes,95,2025-04-28
eggs,22,2025-04-29
pasta,35,2025-04-30
eggs,78,2025-05-01
chicken,91,2025-05-02
yogurt,39,2025-05-03
bread,99,2025-05-04
cookies,33,2025-05-05
apples,51,2025-05-06
cheese,18,2025-05-07
yogurt,9,2025-05-08
potatoes,22,2025-05-09
bananas,37,2025-05-10
juice,64,2025-05-11
juice,56,2025-05-12
tomatoes,16,2025-05-13
tomatoes,55,2025-05-14
potatoes,61,2025-05-15
ice cream,23,2025-05-16
chocolate,35,2025-05-17
ice cream,66,2025-05-18
apples,66,2025-05-19
cereal,88,2025-05-20
cheese,25,2025-05-21
yogurt,79,2025-05-22
bread,38,2025-05-23
eggs,73,2025-05-24
bananas,3,2025-05-25
cheese,22,2025-05-26
soda,96,2025-05-27
ice cream,79,2025-05-28
milk,11,2025-05-29
carrots,17,2025-05-30
yogurt,99,2025-05-31
chocolate,16,2025-06-01
cookies,41,2025-06-02
ice cream,5,2025-06-03
eggs,22,2025-06-04
soda,33,2025-06-05
bananas,44,2025-06-06
yogurt,61,2025-06-07
cookies,62,2025-06-08
cereal,64,2025-06-09
chicken,69,2025-06-10
cereal,33,2025-06-11
rice,51,2025-06-12
bananas,75,2025-06-13
eggs,69,2025-06-14
cereal,56,2025-06-15
yogurt,63,2025-06-16
apples,82,2025-06-17
eggs,64,2025-06-18
cheese,41,2025-06-19
eggs,54,2025-06-20
ice cream,39,2025-06-21
chicken,92,2025-06-22
chocolate,36,2025-06-23
juice,54,2025-06-24
cheese,53,2025-06-25
cheese,87,2025-06-26
carrots,13,2025-06-27
rice,83,2025-06-28
chocolate,99,2025-06-29
soda,67,2025-06-30
cheese,58,2025-07-01
juice,27,2025-07-02
potatoes,7,2025-07-03
cereal,34,2025-07-04
cookies,2,2025-07-05
chicken,5,2025-07-06
potatoes,59,2025-07-07
tomatoes,71,2025-07-08
tomatoes,12,2025-07-09
pasta,95,2025-07-10
chicken,16,2025-07-11
rice,6,2025-07-12
juice,97,2025-07-13
carrots,61,2025-07-14
pasta,99,2025-07-15
bread,90,2025-07-16
chocolate,80,2025-07-17
cheese,99,2025-07-18
onions,48,2025-07-19
rice,75,2025-07-20
eggs,98,2025-07-21
juice,48,2025-07-22
carrots,5,2025-07-23
cheese,16,2025-07-24
milk,89,2025-07-25
chocolate,62,2025-07-26
rice,86,2025-07-27
carrots,88,2025-07-28
chicken,84,2025-07-29
cheese,9,2025-07-30
bread,51,2025-07-31
carrots,6,2025-08-01
apples,72,2025-08-02
bananas,32,2025-08-03
chocolate,29,2025-08-04
carrots,8,2025-08-05
apples,50,2025-08-06
chicken,54,2025-08-07
carrots,40,2025-08-08
bananas,41,2025-08-09
pasta,3,2025-08-10
pasta,46,2025-08-11
soda,70,2025-08-12
cereal,93,2025-08-13
potatoes,81,2025-08-14
cookies,2,2025-08-15
yogurt,57,2025-08-16
yogurt,36,2025-08-17
rice,48,2025-08-18
onions,99,2025-08-19
milk,96,2025-08-20
cookies,65,2025-08-21
milk,57,2025-08-22
potatoes,36,2025-08-23
eggs,6,2025-08-24
milk,28,2025-08-25
pasta,49,2025-08-26
cheese,64,2025-08-27
juice,71,2025-08-28
soda,46,2025-08-29
bread,79,2025-08-30
potatoes,82,2025-08-31
chicken,67,2025-09-01
chocolate,85,2025-09-02
carrots,53,2025-09-03
cheese,69,2025-09-04
potatoes,69,2025-09-05
juice,47,2025-09-06
cheese,78,2025-09-07
chocolate,17,2025-09-08
bread,57,2025-09-09
carrots,50,2025-09-10
tomatoes,69,2025-09-11
juice,61,2025-09-12
rice,84,2025-09-13
cereal,13,2025-09-14
milk,21,2025-09-15
cookies,35,2025-09-16
tomatoes,56,2025-09-17
chicken,26,2025-09-18
cheese,85,2025-09-19
milk,95,2025-09-20
tomatoes,6,2025-09-21
pasta,15,2025-09-22
ice cream,9,2025-09-23
milk,48,2025-09-24
soda,42,2025-09-25
eggs,48,2025-09-26
tomatoes,67,2025-09-27
chicken,62,2025-09-28
tomatoes,19,2025-09-29
pasta,13,2025-09-30
potatoes,92,2025-10-01
cheese,5,2025-10-02
onions,15,2025-10-03
chicken,82,2025-10-04
eggs,70,2025-10-05
pasta,16,2025-10-06
apples,78,2025-10-07
cheese,19,2025-10-08
potatoes,91,2025-10-09
potatoes,70,2025-10-10
potatoes,84,2025-10-11
chicken,11,2025-10-12
chocolate,35,2025-10-13
bread,22,2025-10-14
milk,79,2025-10-15
soda,96,2025-10-16
carrots,81,2025-10-17
ice cream,85,2025-10-18
tomatoes,57,2025-10-19
carrots,8,2025-10-20
onions,72,2025-10-21
chicken,99,2025-10-22
yogurt,33,2025-10-23
juice,31,2025-10-24
pasta,35,2025-10-25
cereal,15,2025-10-26
carrots,54,2025-10-27
pasta,16,2025-10-28
juice,5,2025-10-29
ice cream,29,2025-10-30
ice cream,9,2025-10-31
potatoes,54,2025-11-01
cheese,87,2025-11-02
bread,16,2025-11-03
soda,99,2025-11-04
apples,45,2025-11-05
milk,36,2025-11-06
cereal,75,2025-11-07
cookies,39,2025-11-08
cookies,83,2025-11-09
onions,80,2025-11-10
apples,54,2025-11-11
apples,68,2025-11-12
apples,8,2025-11-13
milk,31,2025-11-14
soda,62,2025-11-15
pasta,75,2025-11-16
cereal,21,2025-11-17
bread,77,2025-11-18
chicken,19,2025-11-19
rice,6,2025-11-20
carrots,3,2025-11-21
pasta,45,2025-11-22
bread,35,2025-11-23
cheese,87,2025-11-24
carrots,34,2025-11-25
cereal,82,2025-11-26
ice cream,64,2025-11-27
rice,73,2025-11-28
juice,67,2025-11-29
onions,18,2025-11-30
eggs,61,2025-12-01
apples,7,2025-12-02
pasta,80,2025-12-03
chicken,13,2025-12-04
bread,60,2025-12-05
cheese,92,2025-12-06
pasta,97,2025-12-07
bread,82,2025-12-08
juice,99,2025-12-09
rice,1,2025-12-10
ice cream,31,2025-12-11
pasta,48,2025-12-12
eggs,83,2025-12-13
cheese,75,2025-12-14
cheese,61,2025-12-15
