itemDescription,Member_number,Date
pasta,24,2027-02-03
cereal,16,2025-05-13
tomatoes,80,2027-06-27
apples,30,2028-09-16
cereal,99,2025-05-31
rice,67,2026-09-24
chocolate,99,2027-11-10
rice,60,2031-08-07
soda,6,2034-04-23
rice,19,2024-09-22
cheese,66,2023-10-17
rice,7,2030-09-27
cheese,45,2036-06-08
cookies,92,2027-04-19
cheese,82,2031-07-15
onions,71,2032-02-06
rice,45,2028-12-05
cheese,93,2034-06-03
potatoes,70,2035-12-18
cheese,70,2026-05-06
bananas,64,2030-07-07
juice,65,2032-04-24
pasta,59,2030-12-25
apples,78,2036-01-04
onions,37,2030-12-31
cereal,54,2034-01-22
cheese,52,2030-11-09
apples,90,2027-06-25
apples,20,2028-05-25
milk,26,2026-01-13
bread,58,2028-01-07
chicken,47,2028-07-04
apples,75,2034-07-30
ice cream,30,2027-06-22
cookies,37,2029-11-07
chocolate,82,2023-10-23
cereal,44,2034-10-02
carrots,58,2029-09-30
juice,58,2030-04-17
bread,18,2024-08-30
milk,79,2028-01-19
pasta,92,2036-08-27
juice,69,2031-11-16
rice,71,2033-07-20
bananas,20,2026-08-22
bread,12,2028-03-12
eggs,31,2032-07-29
soda,61,2029-08-01
chicken,48,2033-05-23
carrots,2,2035-10-12
bananas,58,2035-10-29
carrots,44,2028-10-11
juice,63,2036-05-05
yogurt,43,2034-03-11
pasta,18,2031-06-30
bread,49,2034-10-15
carrots,34,2034-07-19
soda,33,2033-12-09
bananas,14,2030-07-14
pasta,36,2025-08-23
juice,21,2029-10-02
apples,88,2024-10-18
rice,28,2027-03-31
rice,51,2028-09-22
chicken,43,2026-08-02
potatoes,99,2027-03-09
rice,94,2027-12-02
tomatoes,55,2031-09-14
chocolate,34,2031-03-14
juice,56,2036-07-13
yogurt,22,2025-05-09
cereal,27,2032-11-10
potatoes,57,2026-11-07
cookies,61,2029-11-20
soda,88,2024-09-10
apples,86,2032-09-19
cereal,38,2026-04-16
rice,8,2029-03-14
eggs,10,2023-08-13
cereal,41,2027-12-12
ice cream,11,2029-05-06
apples,33,2032-10-18
milk,6,2026-08-13
bananas,2,2036-08-03
eggs,29,2030-01-07
cereal,71,2034-09-29
cereal,71,2030-10-22
apples,70,2032-05-13
soda,36,2025-06-23
apples,45,2028-03-17
bread,20,2031-07-20
cereal,55,2026-01-05
soda,11,2029-05-06
chocolate,28,2024-08-09
chicken,76,2026-07-02
potatoes,84,2027-07-18
bananas,54,2028-07-15
tomatoes,34,2031-04-28
milk,1,2032-09-09
bread,68,2035-07-12
cookies,13,2029-02-27
tomatoes,20,2023-08-01
cookies,86,2023-12-25
bread,61,2023-03-05
bananas,58,2031-11-20
chocolate,63,2026-10-21
pasta,28,2030-09-29
yogurt,37,2032-03-30
tomatoes,45,2035-04-26
bananas,95,2033-08-16
cereal,22,2035-04-27
chicken,39,2033-07-18
potatoes,14,2028-10-26
pasta,8,2033-03-20
yogurt,54,2033-03-11
potatoes,82,2023-02-25
eggs,66,2026-06-04
potatoes,41,2027-12-12
carrots,34,2024-09-26
pasta,88,2029-11-26
carrots,99,2025-08-19
rice,91,2025-10-09
ice cream,83,2031-05-09
soda,28,2036-06-02
yogurt,77,2031-06-08
tomatoes,90,2026-05-29
apples,31,2028-01-24
rice,28,2030-04-26
tomatoes,26,2027-08-17
apples,6,2025-07-12
potatoes,99,2029-03-28
rice,97,2034-02-13
ice cream,92,2027-07-09
cookies,58,2028-01-07
bread,34,2036-05-10
chocolate,50,2026-06-06
ice cream,5,2025-07-23
cereal,59,2033-05-15
tomatoes,79,2029-03-07
onions,56,2035-06-08
tomatoes,11,2036-09-06
chicken,86,2029-06-26
milk,41,2035-07-20
chicken,69,2035-09-27
carrots,55,2026-06-12
rice,81,2023-08-27
soda,17,2035-01-05
cookies,87,2034-05-26
potatoes,84,2034-02-02
milk,49,2033-10-11
juice,7,2032-01-08
chicken,38,2035-05-25
onions,62,2023-06-01
potatoes,57,2033-08-20
cheese,66,2035-11-25
rice,13,2029-05-03
eggs,14,2026-09-09
ice cream,66,2028-08-29
carrots,64,2035-06-29
ice cream,5,2035-08-05
ice cream,5,2028-02-13
bread,96,2036-02-19
cheese,97,2029-11-03
cereal,24,2026-10-14
ice cream,66,2034-02-11
onions,30,2023-08-28
yogurt,70,2036-08-13
onions,83,2024-04-06
chocolate,22,2026-05-12
ice cream,69,2031-10-24
onions,85,2033-03-06
yogurt,98,2033-06-25
potatoes,88,2024-10-18
milk,56,2031-06-25
chocolate,49,2026-10-16
apples,51,2031-06-03
ice cream,86,2030-03-16
cereal,51,2028-10-09
soda,80,2027-07-16
pasta,22,2034-04-20
rice,17,2032-06-11
milk,64,2028-01-09
potatoes,41,2029-09-22
soda,49,2025-01-09
chicken,45,2024-09-23
chocolate,23,2036-09-04
cookies,90,2034-05-01
chocolate,80,2032-12-05
apples,60,2031-03-13
soda,63,2027-11-19
eggs,24,2031-09-25
tomatoes,69,2026-07-16
onions,35,2035-02-18
eggs,39,2033-02-11
yogurt,11,2028-08-26
eggs,18,2035-05-02
onions,84,2034-06-14
cereal,37,2035-12-30
rice,25,2030-07-17
tomatoes,51,2034-01-17
bread,21,2034-05-02
carrots,56,2024-12-14
cereal,96,2036-02-19
ice cream,97,2026-07-06
yogurt,65,2023-11-19
cookies,38,2029-05-05
cheese,96,2032-06-13
ice cream,98,2025-02-04
bananas,58,2031-03-11
chocolate,78,2027-02-01
chicken,89,2036-07-12
bread,68,2023-06-04
milk,84,2030-04-21
chicken,21,2029-01-10
bananas,63,2025-01-11
potatoes,81,2033-03-30
tomatoes,39,2032-12-22
juice,12,2026-06-08
cookies,72,2035-12-14
juice,20,2024-06-16
rice,91,2032-01-07
ice cream,37,2026-06-05
apples,95,2031-01-09
milk,62,2031-03-06
milk,68,2033-06-18
tomatoes,82,2032-04-16
onions,7,2026-10-20
milk,31,2029-05-24
apples,28,2026-01-15
potatoes,46,2027-01-28
chicken,97,2033-05-30
eggs,47,2027-06-03
onions,30,2023-08-28
soda,82,2024-01-23
ice cream,73,2031-05-23
tomatoes,59,2026-10-18
yogurt,47,2032-07-16
eggs,32,2035-03-05
chicken,75,2036-07-19
rice,99,2025-10-22
juice,78,2033-03-27
cereal,96,2032-12-08
yogurt,1,2024-07-16
chicken,24,2023-07-10
chicken,66,2023-10-17
bananas,41,2032-04-26
juice,69,2032-04-17
milk,27,2023-08-16
chicken,75,2026-07-28
chicken,46,2031-06-26
chicken,71,2030-11-06
chocolate,52,2033-09-07
bananas,86,2035-12-29
chicken,38,2035-05-25
potatoes,34,2034-08-30
bread,50,2023-03-24
cereal,70,2024-01-10
milk,87,2025-06-26
potatoes,14,2034-09-17
cereal,49,2030-01-24
yogurt,48,2035-04-28
bread,7,2032-03-27
cheese,83,2025-12-13
pasta,97,2023-03-04
onions,84,2035-12-23
onions,26,2036-09-03
bread,61,2032-11-15
rice,32,2024-12-05
chocolate,70,2025-10-10
tomatoes,43,2023-07-15
cheese,67,2025-09-27
cereal,94,2024-09-18
milk,45,2023-07-31
chicken,30,2023-08-28
juice,9,2035-04-13
cereal,60,2029-08-28
cereal,29,2029-03-09
carrots,24,2029-09-02
milk,75,2035-06-04
tomatoes,46,2033-08-18
potatoes,43,2033-11-20
bananas,45,2033-04-10
pasta,42,2032-04-03
carrots,28,2033-04-30
carrots,50,2033-06-05
chocolate,85,2033-03-06
yogurt,31,2034-01-08
cheese,21,2024-10-22
bread,92,2029-09-20
cheese,16,2027-11-04
potatoes,63,2034-03-23
juice,25,2023-10-12
rice,34,2024-09-26
cheese,36,2028-03-02
potatoes,37,2030-05-03
potatoes,16,2036-07-16
soda,8,2023-10-04
cheese,16,2029-01-17
tomatoes,6,2025-08-01
bananas,78,2033-07-09
bread,77,2031-06-17
chocolate,70,2036-04-05
chicken,64,2026-02-26
chicken,67,2030-09-09
apples,52,2033-09-07
juice,81,2026-08-28
bread,91,2032-07-21
cheese,85,2026-07-27
apples,60,2024-12-17
pasta,52,2035-03-24
apples,72,2031-09-22
soda,21,2027-05-12
potatoes,60,2023-05-23
cheese,47,2031-02-28
eggs,55,2028-09-11
yogurt,54,2032-09-14
eggs,9,2023-06-16
chicken,87,2034-05-26
tomatoes,51,2034-01-17
eggs,79,2031-10-18
ice cream,57,2031-08-30
milk,11,2026-04-06
chocolate,13,2031-09-05
eggs,10,2036-02-08
chicken,28,2032-02-24
bananas,92,2023-03-31
tomatoes,37,2026-07-30
pasta,22,2030-02-10
soda,40,2034-04-05
onions,11,2023-12-28
soda,99,2024-08-21
milk,51,2025-01-05
rice,46,2032-04-23
tomatoes,99,2026-05-16
potatoes,14,2027-01-16
juice,90,2025-03-31
potatoes,63,2034-01-19
onions,70,2033-09-14
carrots,94,2023-10-25
bananas,17,2032-09-02
yogurt,11,2028-02-09
bananas,24,2026-11-22
pasta,66,2027-12-05
tomatoes,64,2025-05-11
apples,63,2027-11-19
apples,3,2029-07-26
rice,79,2025-08-30
eggs,43,2033-07-24
bread,96,2025-05-27
cereal,48,2027-02-15
bread,50,2032-03-25
milk,58,2023-11-30
bread,5,2023-05-31
chocolate,19,2028-02-29
cereal,20,2035-11-30
juice,56,2023-08-17
cereal,56,2024-02-23
pasta,27,2032-03-29
pasta,24,2023-01-22
milk,15,2023-03-28
onions,9,2030-06-23
ice cream,68,2024-12-24
cookies,63,2033-06-16
apples,93,2024-07-21
eggs,27,2024-03-22
pasta,15,2025-09-22
chocolate,8,2024-06-18
pasta,26,2027-10-21
juice,34,2031-10-08
onions,18,2031-10-22
ice cream,9,2032-04-06
chicken,98,2026-06-02
pasta,13,2024-01-22
tomatoes,4,2025-03-12
tomatoes,7,2025-12-02
cheese,20,2034-06-05
cheese,83,2025-12-13
ice cream,62,2036-06-27
cheese,13,2032-07-18
juice,25,2024-05-20
milk,23,2029-09-24
juice,9,2029-09-01
cookies,14,2029-05-19
carrots,6,2033-03-07
apples,31,2034-02-01
cereal,78,2030-12-11
bananas,56,2026-06-23
pasta,72,2025-04-12
milk,38,2024-03-28
chicken,1,2023-09-11
bananas,34,2032-09-01
cereal,67,2025-09-27
ice cream,4,2028-12-02
rice,1,2028-09-15
soda,59,2026-08-14
soda,34,2027-06-02
ice cream,19,2025-11-19
rice,63,2035-07-17
chicken,78,2028-12-14
cereal,39,2031-11-01
eggs,25,2030-07-17
ice cream,80,2027-08-05
yogurt,24,2026-08-24
chocolate,88,2025-05-20
onions,79,2024-04-12
chicken,68,2035-11-12
chicken,71,2030-11-06
onions,36,2025-06-23
apples,17,2023-12-18
pasta,95,2023-12-03
onions,37,2032-07-01
chocolate,92,2030-02-03
cheese,13,2027-09-20
cheese,95,2035-05-01
onions,2,2023-06-27
apples,59,2028-11-22
soda,71,2028-12-31
milk,88,2024-10-16
cereal,26,2032-06-30
pasta,3,2026-01-12
carrots,58,2026-04-18
cereal,14,2023-07-28
juice,30,2023-08-31
cheese,79,2036-05-12
milk,34,2030-07-01
milk,22,2025-01-31
ice cream,12,2026-07-25
rice,3,2026-04-11
ice cream,90,2028-10-27
carrots,83,2034-06-28
cookies,84,2027-05-01
cookies,71,2032-11-06
chocolate,63,2027-08-25
bread,96,2027-07-17
chicken,36,2031-12-16
ice cream,54,2024-08-26
rice,84,2035-03-11
milk,2,2034-07-24
bread,58,2030-10-04
bananas,57,2033-08-20
ice cream,96,2025-05-27
pasta,88,2030-08-24
ice cream,90,2033-12-27
onions,92,2034-09-20
soda,60,2036-07-09
ice cream,9,2032-04-06
bread,97,2023-03-04
carrots,19,2023-04-03
cookies,55,2031-04-17
pasta,79,2031-11-30
potatoes,32,2027-08-24
rice,56,2034-01-30
cheese,78,2024-11-01
cheese,53,2029-03-23
ice cream,22,2034-03-09
bread,49,2033-07-01
ice cream,13,2033-11-05
carrots,60,2031-04-04
cheese,16,2024-03-14
onions,96,2023-09-19
cheese,68,2023-06-04
juice,92,2034-06-22
cheese,40,2026-12-21
cookies,2,2025-01-20
eggs,17,2024-11-03
eggs,19,2028-04-15
eggs,93,2035-11-09
juice,45,2036-03-31
chocolate,55,2025-02-02
milk,41,2028-06-19
carrots,92,2033-09-30
juice,87,2033-04-21
eggs,53,2035-09-21
soda,4,2036-02-25
pasta,10,2036-02-08
cookies,75,2032-01-20
juice,57,2028-04-12
chicken,21,2025-09-15
carrots,19,2034-06-29
apples,35,2031-12-29
cookies,17,2035-06-15
rice,20,2024-07-25
ice cream,93,2027-09-30
bread,90,2030-02-15
chicken,88,2029-11-26
potatoes,79,2033-08-11
carrots,69,2032-10-20
cereal,3,2034-09-21
bread,76,2036-01-13
juice,70,2036-08-13
potatoes,96,2023-04-09
rice,60,2024-12-17
bread,16,2025-07-11
carrots,73,2025-11-28
cheese,66,2035-12-15
eggs,79,2025-05-22
tomatoes,82,2023-10-23
juice,75,2029-02-24
chicken,33,2034-02-27
yogurt,29,2024-04-17
tomatoes,20,2024-05-14
potatoes,80,2036-07-27
cookies,95,2031-07-11
cheese,81,2026-04-07
carrots,8,2025-11-13
tomatoes,28,2023-11-04
pasta,24,2035-09-09
cheese,88,2023-02-17
carrots,1,2023-09-11
juice,25,2031-05-19
juice,40,2034-10-26
potatoes,26,2030-11-20
bread,70,2031-12-12
onions,80,2031-12-11
pasta,1,2027-01-13
yogurt,98,2028-05-23
chicken,7,2031-11-07
milk,71,2024-10-30
onions,40,2034-04-12
bread,72,2028-02-19
pasta,57,2032-06-19
milk,58,2031-11-20
eggs,92,2033-05-02
bananas,7,2024-04-10
juice,72,2033-01-02
soda,66,2030-07-19
soda,5,2035-02-11
apples,34,2033-12-20
yogurt,5,2023-05-31
chocolate,36,2026-09-21
soda,32,2035-05-09
apples,75,2030-10-17
carrots,78,2025-01-21
eggs,10,2027-10-28
potatoes,67,2028-11-05
chocolate,26,2036-09-03
potatoes,72,2026-07-17
cheese,12,2036-06-10
tomatoes,63,2024-06-03
soda,61,2029-08-01
carrots,4,2035-04-17
chicken,56,2036-05-07
cookies,90,2032-02-04
carrots,38,2034-06-04
onions,38,2033-01-21
cookies,67,2025-06-30
chocolate,95,2026-03-26
carrots,78,2031-11-11
chocolate,96,2023-09-19
chocolate,26,2034-09-10
chicken,26,2026-07-13
juice,18,2032-04-13
pasta,58,2025-04-01
cheese,31,2034-01-08
yogurt,89,2029-03-24
bread,88,2035-10-21
chicken,22,2035-04-27
onions,60,2031-08-07
pasta,9,2032-03-12
carrots,43,2024-06-24
potatoes,92,2024-07-07
rice,48,2035-04-05
bread,14,2030-04-01
onions,61,2034-07-21
onions,90,2028-04-30
bread,27,2026-06-01
tomatoes,51,2034-11-25
tomatoes,67,2027-04-04
pasta,61,2025-12-15
apples,27,2023-07-20
carrots,85,2025-09-19
chocolate,17,2024-02-08
soda,15,2035-10-06
soda,98,2028-02-04
carrots,82,2031-07-04
eggs,74,2036-07-24
onions,82,2036-05-01
soda,33,2028-04-03
yogurt,7,2026-03-08
potatoes,3,2026-04-11
onions,62,2034-03-30
soda,64,2030-01-01
chicken,20,2028-02-22
cookies,1,2026-08-26
chocolate,97,2032-01-23
onions,85,2033-03-06
chocolate,56,2026-06-23
bread,75,2024-04-29
cheese,55,2028-11-23
ice cream,46,2030-08-22
cookies,93,2029-11-25
ice cream,53,2034-01-20
chicken,72,2031-07-23
rice,48,2026-07-07
potatoes,68,2035-02-21
milk,71,2033-08-28
chicken,22,2029-02-03
apples,84,2034-02-02
cookies,42,2033-01-10
onions,69,2027-05-07
yogurt,61,2024-06-26
carrots,75,2026-06-16
bread,34,2024-05-19
chicken,79,2023-10-01
chicken,59,2031-05-10
rice,69,2025-06-10
bananas,9,2030-07-08
onions,93,2034-03-25
soda,81,2028-04-02
apples,16,2028-08-05
tomatoes,30,2027-06-15
bananas,26,2030-11-20
yogurt,39,2028-01-12
onions,44,2032-03-09
cookies,54,2031-10-21
onions,92,2024-08-07
soda,99,2036-01-12
bananas,60,2035-03-20
eggs,78,2026-05-17
potatoes,70,2036-06-14
yogurt,20,2028-05-25
bananas,21,2035-07-18
eggs,19,2029-02-05
tomatoes,19,2031-05-17
cookies,77,2034-01-23
soda,36,2032-10-13
potatoes,70,2033-09-14
apples,53,2029-03-23
juice,20,2030-11-16
carrots,32,2026-08-08
chicken,5,2035-02-25
rice,33,2028-08-04
onions,62,2036-08-17
pasta,33,2034-06-30
juice,77,2026-09-15
onions,50,2036-06-16
carrots,95,2027-01-14
potatoes,63,2029-01-09
juice,2,2034-11-30
onions,19,2033-01-15
tomatoes,46,2033-08-18
soda,19,2028-04-19
milk,38,2023-11-21
potatoes,60,2030-01-23
bananas,42,2024-10-31
yogurt,87,2024-01-05
eggs,10,2027-10-28
cookies,59,2032-12-15
soda,39,2033-07-18
chocolate,93,2023-10-16
onions,81,2025-08-14
eggs,91,2028-04-13
pasta,69,2032-11-19
juice,40,2034-10-26
rice,68,2034-01-18
milk,29,2023-08-12
cheese,5,2034-09-11
rice,5,2031-02-24
onions,51,2035-12-25
cheese,85,2030-03-25
bread,45,2025-11-22
cookies,45,2035-01-11
juice,58,2025-12-23
cereal,84,2028-01-20
ice cream,12,2023-12-21
soda,45,2023-07-31
rice,32,2031-09-23
bread,68,2035-07-12
onions,50,2033-06-05
bread,11,2030-04-12
eggs,92,2024-06-17
tomatoes,69,2032-04-17
cookies,79,2029-03-07
rice,97,2035-04-15
bread,10,2034-02-07
juice,11,2028-05-15
rice,5,2031-02-24
juice,44,2032-03-09
cookies,77,2027-09-21
bananas,89,2036-05-31
milk,19,2025-09-29
bread,78,2036-04-24
ice cream,16,2035-04-14
eggs,6,2023-11-23
potatoes,75,2026-03-20
yogurt,16,2028-09-07
bread,38,2026-04-16
potatoes,50,2034-03-13
cheese,36,2026-09-21
milk,76,2028-08-20
onions,86,2026-04-26
juice,48,2032-06-07
potatoes,84,2024-01-26
cereal,41,2026-08-06
rice,36,2032-02-18
cookies,31,2026-10-01
tomatoes,18,2024-09-06
chocolate,9,2024-11-04
juice,6,2034-04-23
eggs,69,2028-06-26
onions,71,2035-02-05
cereal,24,2035-07-15
cheese,63,2026-07-10
onions,92,2034-09-20
pasta,47,2024-08-08
bananas,66,2033-01-26
yogurt,86,2028-11-17
milk,73,2024-04-26
ice cream,84,2033-04-27
potatoes,70,2033-09-14
bread,55,2024-02-12
potatoes,23,2028-01-10
juice,9,2027-10-02
rice,12,2027-08-19
chicken,51,2025-01-05
potatoes,98,2028-02-04
potatoes,92,2033-04-29
cereal,49,2033-07-26
juice,24,2032-11-13
juice,69,2027-05-07
juice,27,2029-06-03
apples,49,2033-04-04
carrots,13,2031-07-25
juice,85,2036-04-22
milk,11,2029-01-04
onions,59,2025-07-07
onions,34,2035-09-06
rice,7,2025-04-18
onions,14,2030-04-01
bread,77,2031-06-17
apples,62,2025-11-15
soda,94,2029-08-20
chocolate,70,2030-12-15
carrots,59,2026-11-26
chicken,96,2031-06-16
bread,40,2031-07-19
onions,48,2027-02-15
potatoes,62,2024-01-18
juice,83,2030-11-17
potatoes,96,2034-03-06
rice,33,2028-07-01
chocolate,5,2031-02-24
onions,75,2029-02-24
soda,44,2028-10-11
potatoes,62,2029-07-13
juice,98,2023-09-21
tomatoes,42,2029-08-07
eggs,15,2025-10-03
cheese,37,2029-02-20
cheese,27,2026-02-16
potatoes,37,2036-08-12
chicken,26,2033-09-26
bananas,47,2023-07-29
cereal,33,2024-06-15
eggs,52,2026-01-06
potatoes,24,2034-12-09
yogurt,62,2023-10-20
bananas,93,2023-04-10
eggs,22,2030-12-08
cookies,25,2033-03-02
soda,51,2026-12-18
potatoes,39,2023-12-22
eggs,85,2032-03-23
chocolate,63,2029-01-09
bananas,54,2025-06-20
cheese,93,2030-01-05
chocolate,81,2034-11-02
onions,16,2024-08-22
soda,1,2023-09-11
bananas,66,2027-12-05
juice,52,2029-06-06
ice cream,78,2026-04-12
onions,13,2023-08-07
chicken,28,2035-09-19
chicken,41,2029-02-10
yogurt,35,2033-09-02
rice,68,2028-05-04
juice,45,2030-07-21
pasta,69,2027-06-06
bananas,20,2034-04-03
apples,63,2028-03-23
yogurt,1,2025-12-10
bananas,85,2025-04-05
potatoes,62,2035-07-16
soda,60,2031-08-07
rice,13,2029-05-03
cheese,17,2033-09-15
juice,79,2024-10-20
ice cream,62,2036-06-27
cheese,78,2028-12-14
chicken,29,2030-06-08
bananas,84,2023-06-30
yogurt,36,2034-09-19
cheese,34,2035-09-06
cookies,63,2025-02-28
cereal,26,2023-10-05
bread,54,2033-09-21
milk,70,2033-09-14
carrots,76,2023-04-19
bread,59,2036-04-18
chocolate,61,2036-03-15
rice,15,2031-01-28
bananas,50,2023-03-24
juice,47,2033-12-16
cookies,10,2024-03-06
tomatoes,40,2023-07-25
juice,25,2033-10-04
cheese,71,2031-08-19
eggs,93,2026-05-08
yogurt,99,2026-05-16
cereal,96,2028-09-03
potatoes,77,2035-03-28
bananas,50,2027-11-24
rice,54,2027-09-22
cheese,35,2028-07-31
onions,81,2032-02-09
soda,36,2036-01-22
cookies,3,2030-08-15
tomatoes,90,2024-11-02
bananas,58,2025-07-01
onions,46,2028-12-11
eggs,10,2025-03-11
eggs,96,2028-09-03
bananas,16,2036-07-16
rice,15,2028-01-22
cheese,55,2033-11-13
cereal,64,2027-01-12
soda,75,2026-08-30
chicken,30,2031-05-11
cheese,59,2033-05-15
eggs,28,2023-05-21
chicken,17,2024-08-28
carrots,70,2028-12-12
cereal,41,2023-12-27
juice,42,2032-04-03
eggs,39,2025-06-21
chicken,3,2024-06-09
onions,22,2024-11-21
apples,69,2033-01-29
juice,51,2028-09-22
eggs,27,2036-01-29
eggs,35,2035-03-27
ice cream,71,2030-11-06
cereal,80,2031-12-26
ice cream,42,2028-01-08
ice cream,25,2023-01-16
yogurt,9,2027-10-02
soda,82,2036-05-01
yogurt,35,2030-11-18
rice,84,2028-01-20
onions,57,2034-07-31
juice,90,2033-11-26
chocolate,67,2026-01-16
apples,51,2034-10-03
cereal,52,2028-07-10
pasta,78,2036-01-04
milk,30,2031-06-01
juice,69,2026-04-01
cereal,19,2028-02-29
onions,9,2027-10-17
chicken,58,2030-04-17
juice,93,2028-05-24
carrots,7,2025-03-03
pasta,13,2026-05-23
cheese,28,2026-06-09
ice cream,67,2033-03-18
cereal,41,2029-09-22
carrots,97,2029-01-13
yogurt,35,2035-06-25
milk,41,2030-12-14
carrots,35,2026-05-03
cheese,46,2035-02-15
soda,71,2034-01-31
carrots,28,2032-05-15
chicken,46,2031-06-26
pasta,4,2032-09-08
chocolate,13,2024-01-22
pasta,76,2032-03-11
cheese,85,2025-03-19
juice,92,2035-01-17
bread,69,2026-07-16
yogurt,65,2031-08-25
cheese,83,2028-03-26
rice,56,2031-06-25
chicken,61,2025-09-12
apples,87,2024-11-28
onions,99,2028-04-22
bread,67,2025-11-29
milk,65,2032-05-04
bananas,62,2031-03-10
bananas,75,2033-07-11
cheese,23,2029-07-27
onions,80,2033-10-23
milk,41,2027-04-16
chicken,99,2024-11-06
pasta,88,2031-04-08
chicken,70,2026-03-27
bread,76,2031-06-21
cheese,30,2036-03-25
juice,12,2026-06-08
apples,9,2032-09-16
cheese,45,2026-02-27
bananas,16,2034-03-01
bread,93,2036-04-04
cheese,26,2036-03-28
rice,74,2028-09-29
onions,72,2028-02-19
cheese,88,2035-03-16
soda,61,2035-11-20
apples,87,2023-12-16
bananas,64,2025-11-27
ice cream,9,2031-10-14
pasta,30,2034-05-18
onions,10,2023-02-11
cookies,3,2025-03-04
potatoes,29,2023-09-20
potatoes,72,2036-01-17
cereal,82,2031-07-04
cookies,53,2025-06-25
yogurt,96,2032-03-26
carrots,63,2026-07-10
bread,1,2031-06-28
soda,34,2032-03-14
cereal,18,2024-01-16
chocolate,47,2032-03-13
apples,92,2023-03-31
cereal,23,2025-05-16
eggs,93,2029-11-25
cheese,54,2025-04-21
rice,56,2034-08-06
chocolate,17,2024-02-08
chicken,80,2035-11-27
juice,76,2031-09-20
soda,77,2032-03-10
onions,40,2026-12-21
pasta,90,2033-11-26
bread,35,2023-01-11
apples,51,2034-10-03
bananas,6,2034-04-23
cereal,61,2023-07-12
cheese,41,2036-04-12
bananas,65,2028-01-02
pasta,48,2033-10-20
juice,65,2028-10-18
apples,69,2034-12-24
eggs,76,2031-11-27
pasta,87,2036-02-17
chocolate,75,2029-09-29
onions,28,2025-08-25
cereal,27,2033-03-14
carrots,51,2031-07-07
eggs,21,2030-02-20
rice,73,2030-02-18
chicken,40,2029-10-30
apples,38,2031-03-28
milk,91,2031-12-10
apples,69,2026-01-19
bread,30,2030-04-15
cheese,62,2024-01-09
milk,65,2025-08-21
yogurt,43,2029-06-24
rice,39,2032-04-09
carrots,17,2025-04-04
onions,93,2030-01-26
bananas,36,2028-06-06
ice cream,69,2032-04-17
soda,36,2032-03-20
onions,80,2028-02-28
apples,27,2035-04-22
chocolate,61,2034-07-21
cheese,80,2035-09-08
rice,82,2027-04-10
chocolate,96,2029-01-24
yogurt,10,2024-10-05
chicken,84,2025-02-10
bread,10,2035-12-24
rice,75,2025-01-07
chicken,54,2030-03-28
yogurt,89,2026-04-24
carrots,24,2029-09-02
pasta,67,2031-05-01
cheese,63,2033-06-10
yogurt,34,2030-07-01
rice,2,2034-01-04
chocolate,64,2032-03-22
chicken,26,2033-10-21
bread,63,2029-01-09
chocolate,47,2030-11-24
soda,71,2030-03-08
chocolate,51,2027-05-20
potatoes,98,2034-12-23
cereal,79,2029-03-07
chicken,34,2031-04-28
apples,65,2031-08-25
ice cream,35,2026-03-10
ice cream,19,2024-07-30
chicken,54,2023-12-07
apples,34,2034-04-11
juice,95,2033-09-13
tomatoes,27,2024-04-18
cookies,29,2026-05-02
tomatoes,91,2026-07-26
tomatoes,66,2036-03-04
